dataset,classifier,fold,metric,value
iris,GaussianNB,0,accuracy,0.9333333333333333
iris,GaussianNB,0,macro_f1,0.9326599326599326
iris,GaussianNB,0,auc_roc,1.0
iris,GaussianNB,0,log_loss,0.07058808065536885
iris,GaussianNB,0,brier_score,0.05495914687887368
iris,GaussianNB,0,ece,0.04495924775260202
iris,GaussianNB,0,balanced_accuracy,0.9333333333333332
iris,GaussianNB,0,geometric_mean,0.9283177667225558
iris,GaussianNB,0,mcc,0.9060606745389328
iris,GaussianNB,0,weighted_f1,0.9326599326599326
iris,GaussianNB,0,fit_time,0.0009987354278564453
iris,GaussianNB,0,predict_time,0.0
iris,GaussianNB,1,accuracy,1.0
iris,GaussianNB,1,macro_f1,1.0
iris,GaussianNB,1,auc_roc,1.0
iris,GaussianNB,1,log_loss,0.026474747542679578
iris,GaussianNB,1,brier_score,0.008100236739328212
iris,GaussianNB,1,ece,0.02417229729093322
iris,GaussianNB,1,balanced_accuracy,1.0
iris,GaussianNB,1,geometric_mean,1.0
iris,GaussianNB,1,mcc,1.0
iris,GaussianNB,1,weighted_f1,1.0
iris,GaussianNB,1,fit_time,0.0
iris,GaussianNB,1,predict_time,0.0010006427764892578
iris,GaussianNB,2,accuracy,1.0
iris,GaussianNB,2,macro_f1,1.0
iris,GaussianNB,2,auc_roc,1.0
iris,GaussianNB,2,log_loss,0.0032378096710736367
iris,GaussianNB,2,brier_score,0.00010033511207603042
iris,GaussianNB,2,ece,0.0032123914309367674
iris,GaussianNB,2,balanced_accuracy,1.0
iris,GaussianNB,2,geometric_mean,1.0
iris,GaussianNB,2,mcc,1.0
iris,GaussianNB,2,weighted_f1,1.0
iris,GaussianNB,2,fit_time,0.0
iris,GaussianNB,2,predict_time,0.0
iris,GaussianNB,3,accuracy,0.9333333333333333
iris,GaussianNB,3,macro_f1,0.9326599326599326
iris,GaussianNB,3,auc_roc,1.0
iris,GaussianNB,3,log_loss,0.29780203677456674
iris,GaussianNB,3,brier_score,0.13101802655068673
iris,GaussianNB,3,ece,0.07098230597275654
iris,GaussianNB,3,balanced_accuracy,0.9333333333333332
iris,GaussianNB,3,geometric_mean,0.9283177667225558
iris,GaussianNB,3,mcc,0.9060606745389328
iris,GaussianNB,3,weighted_f1,0.9326599326599326
iris,GaussianNB,3,fit_time,0.0010008811950683594
iris,GaussianNB,3,predict_time,0.0
iris,GaussianNB,4,accuracy,0.8666666666666667
iris,GaussianNB,4,macro_f1,0.8666666666666667
iris,GaussianNB,4,auc_roc,0.9733333333333333
iris,GaussianNB,4,log_loss,0.2910483187569265
iris,GaussianNB,4,brier_score,0.2049445636677444
iris,GaussianNB,4,ece,0.14191756533590474
iris,GaussianNB,4,balanced_accuracy,0.8666666666666667
iris,GaussianNB,4,geometric_mean,0.8617738760127536
iris,GaussianNB,4,mcc,0.8
iris,GaussianNB,4,weighted_f1,0.8666666666666667
iris,GaussianNB,4,fit_time,0.0
iris,GaussianNB,4,predict_time,0.0009999275207519531
iris,GaussianNB,5,accuracy,1.0
iris,GaussianNB,5,macro_f1,1.0
iris,GaussianNB,5,auc_roc,1.0
iris,GaussianNB,5,log_loss,0.08935212805729134
iris,GaussianNB,5,brier_score,0.04525372844127515
iris,GaussianNB,5,ece,0.07361636408857906
iris,GaussianNB,5,balanced_accuracy,1.0
iris,GaussianNB,5,geometric_mean,1.0
iris,GaussianNB,5,mcc,1.0
iris,GaussianNB,5,weighted_f1,1.0
iris,GaussianNB,5,fit_time,0.0
iris,GaussianNB,5,predict_time,0.0
iris,GaussianNB,6,accuracy,1.0
iris,GaussianNB,6,macro_f1,1.0
