metric,BernoulliNB,ComplementNB,GaussianNB,MultinomialNB,PW-NB(auto),PW-NB(k=15),PW-NB(k=30),PW-NB(k=45),PW-NB(k=5)
accuracy,5.315789473684211,6.859649122807017,5.56140350877193,4.43859649122807,3.8859649122807016,4.93859649122807,4.780701754385965,4.526315789473684,4.692982456140351
auc_roc,4.956140350877193,5.745614035087719,3.754385964912281,5.368421052631579,4.649122807017544,5.06140350877193,5.192982456140351,5.2631578947368425,5.008771929824562
balanced_accuracy,4.894736842105263,5.807017543859649,5.114035087719298,6.37719298245614,3.763157894736842,4.973684210526316,4.947368421052632,4.692982456140351,4.4298245614035086
brier_score,4.421052631578948,6.385964912280702,4.614035087719298,3.9473684210526314,4.508771929824562,5.4035087719298245,5.342105263157895,5.140350877192983,5.2368421052631575
ece,3.9473684210526314,5.666666666666667,4.807017543859649,3.5789473684210527,4.7368421052631575,5.719298245614035,5.815789473684211,5.421052631578948,5.307017543859649
geometric_mean,4.973684210526316,5.675438596491228,5.2631578947368425,6.157894736842105,3.991228070175439,4.868421052631579,4.807017543859649,4.754385964912281,4.508771929824562
log_loss,3.0526315789473686,4.315789473684211,4.692982456140351,2.5964912280701755,5.771929824561403,6.0964912280701755,6.087719298245614,6.2894736842105265,6.0964912280701755
macro_f1,5.140350877192983,6.508771929824562,5.192982456140351,5.508771929824562,3.754385964912281,4.9298245614035086,4.9035087719298245,4.701754385964913,4.359649122807017
mcc,5.043859649122807,6.105263157894737,5.228070175438597,5.728070175438597,3.9298245614035086,4.912280701754386,4.921052631578948,4.56140350877193,4.5701754385964914
weighted_f1,5.2631578947368425,6.842105263157895,5.491228070175438,5.12280701754386,3.824561403508772,4.771929824561403,4.675438596491228,4.526315789473684,4.482456140350878
