dataset,BernoulliNB,ComplementNB,GaussianNB,MultinomialNB,PW-NB(k=15),PW-NB(k=30),PW-NB(k=45),PW-NB(k=5)
balance_scale,0.760087046,0.876753712,0.903968254,0.876779314,0.905555556,0.905555556,0.905555556,0.903968254
banknote,0.844747699,0.736200148,0.838241828,0.636305935,0.839696393,0.837506612,0.84042632,0.839696393
breast_cancer,0.931484962,0.850626566,0.936810777,0.840100251,0.935056391,0.933302005,0.933302005,0.938565163
digits,0.88534761,0.819671012,0.842510863,0.900387958,0.858075729,0.85751707,0.859748603,0.85751707
ecoli,0.726190476,0.660714286,0.791666667,0.425595238,0.81547619,0.81547619,0.81547619,0.81547619
glass,0.65942029,0.47705314,0.448872786,0.495772947,0.467592593,0.467592593,0.467592593,0.448671498
ionosphere,0.760555556,0.755079365,0.888888889,0.655238095,0.888888889,0.886111111,0.857619048,0.891746032
iris,0.753333333,0.666666667,0.953333333,0.793333333,0.953333333,0.953333333,0.953333333,0.953333333
letter,0.42155,0.40645,0.64365,0.524,0.6571,0.6576,0.6586,0.654
optdigits,0.89519573,0.820996441,0.791459075,0.907117438,0.833985765,0.832384342,0.835053381,0.833807829
page_blocks,0.890366832,0.909735919,0.884882037,0.898593189,0.92617996,0.928923191,0.928923191,0.921613245
parkinsons,0.718684211,0.707631579,0.713157895,0.851052632,0.712894737,0.723157895,0.717894737,0.717894737
pendigits,0.810499876,0.699508892,0.856533377,0.801492845,0.855805195,0.8544404,0.853348581,0.856169576
robot_navigation,0.606672044,0.596044628,0.527849246,0.590173405,0.542700541,0.544715529,0.546547703,0.5362839
satellite,0.693468118,0.541368585,0.795800933,0.579315708,0.799222395,0.797200622,0.797511664,0.799844479
segment,0.723376623,0.495670996,0.796536797,0.769264069,0.81038961,0.812121212,0.813852814,0.80995671
sonar,0.75452381,0.745238095,0.682619048,0.754761905,0.687380952,0.672857143,0.682619048,0.677619048
spambase,0.902632274,0.836777799,0.820255588,0.889808073,0.834163916,0.834598227,0.835250401,0.832859568
transfusion,0.747279279,0.695135135,0.744558559,0.762054054,0.752594595,0.756594595,0.757927928,0.753945946
vehicle,0.457535014,0.464495798,0.45035014,0.536680672,0.461022409,0.464537815,0.469229692,0.476358543
vowel,0.344444444,0.088888889,0.355555556,0.046464646,0.156565657,0.154545455,0.143434343,0.196969697
waveform,0.7808,0.7288,0.798,0.8164,0.8078,0.8072,0.806,0.8074
wine,0.927124183,0.86503268,0.977777778,0.944117647,0.972222222,0.972222222,0.972222222,0.972222222
