dataset,BernoulliNB,ComplementNB,GaussianNB,MultinomialNB,PW-NB(auto),PW-NB(k=15),PW-NB(k=30),PW-NB(k=45),PW-NB(k=5)
JapaneseVowels,0.7134827172279892,0.6105800332725082,0.857744115881782,0.36502388692180954,0.855033473915723,0.8535277519304902,0.8529254429956536,0.8519214269313966,0.855033473915723
LED-display-domain-7digit,0.726,0.602,0.6519999999999999,0.73,0.708,0.704,0.716,0.712,0.678
MagicTelescope,0.7549421661409044,0.7790220820189274,0.7268664563617245,0.6669821240799159,0.7361198738170347,0.7345951629863301,0.735856992639327,0.7361198738170347,0.7331230283911672
PhishingWebsites,0.9292616988372758,0.9298044397895477,0.7096342451294053,0.9293525238722559,0.7668034497148422,0.7534151031396006,0.7647229836433113,0.7668034497148422,0.7355954767496093
Speech,0.9712486744432661,0.884959349593496,0.9723304760221515,0.9834511605985625,0.9818214622363616,0.9826366796276659,0.980737451396253,0.9804657122658182,0.9826359432072582
UCI_churn,0.8550871230511949,0.8550862239484994,0.14491287694880506,0.8550871230511949,0.17821833809857757,0.15361978745212274,0.15121738504972032,0.14581377784970595,0.17821833809857757
USPS,0.8269501255830642,0.6387371089273933,0.7822087572485156,0.8398575182008635,0.794578399712953,0.7918890702223458,0.7918894174566247,0.7949009803581143,0.7917811961063463
artificial-characters,0.2525906070369596,0.21481654339113448,0.2632585566125072,0.18643467610703596,0.2796023238028792,0.27275147537715794,0.27637336098487536,0.27950438060993116,0.27147945972158066
banknote-authentication,0.8447476991431291,0.7362001481011319,0.8382418279911139,0.6363059346239289,0.8404263196868719,0.8396963926795726,0.8375066116576748,0.8404263196868719,0.8396963926795726
blood-transfusion-service-center,0.7472792792792793,0.6951351351351351,0.7445585585585586,0.762054054054054,0.7592792792792793,0.7525945945945945,0.7565945945945945,0.757927927927928,0.753945945945946
breast-w,0.9707161125319693,0.8829070758738278,0.9634484228473997,0.9136402387041773,0.9604859335038363,0.9604859335038363,0.9604859335038363,0.9619565217391305,0.9604859335038363
california,0.7402827409469914,0.739556137671112,0.6225181022594476,0.7396046107685429,0.6075380128660377,0.5622273388269511,0.5654749189296839,0.5673649939690448,0.6062783229435571
cardiotocography,0.9948246080255115,1.0,0.9995305164319248,1.0,0.9995305164319248,0.9995305164319248,0.9995305164319248,0.9995305164319248,0.9995305164319248
clean1,0.7314716312056737,0.680718085106383,0.8132535460992909,0.6953457446808511,0.7944148936170212,0.785904255319149,0.7711879432624114,0.7627216312056737,0.7943705673758865
clean2,0.741279486825769,0.784926886467099,0.8872347910056559,0.8317616222927301,0.8676824389570974,0.8679870786775187,0.8669248631995219,0.8732896491470088,0.8648036510783097
climate-model-simulation-crashes,0.8907407407407406,0.7722222222222223,0.8907407407407408,0.9148148148148149,0.9018518518518519,0.9,0.9055555555555556,0.9074074074074074,0.9074074074074074
