dataset,BernoulliNB,ComplementNB,GaussianNB,MultinomialNB,PW-NB(auto),PW-NB(k=15),PW-NB(k=30),PW-NB(k=45),PW-NB(k=5)
JapaneseVowels,0.01304600054618293,0.010937190891035875,0.010374440623366513,0.007304755231470801,0.012119829886653322,0.011426085361418344,0.01166622612401823,0.011286948018021579,0.012119829886653322
LED-display-domain-7digit,0.05420127099780755,0.049396356140913894,0.10962562555250377,0.07071067811865474,0.08066391179868888,0.07933053216343205,0.07290785661062571,0.07375635565834313,0.07568942389058651
MagicTelescope,0.009009664065136402,0.008092300802658242,0.003928586009719575,0.0034091318375851125,0.00528355562958865,0.00514423829203151,0.004964364858424165,0.00528355562958865,0.004976723266540149
PhishingWebsites,0.0070028902338018055,0.008069245519418048,0.007802094308804655,0.007555600694680736,0.013865954611962519,0.01097213169370715,0.01355813959365626,0.013865954611962519,0.011385392265402429
Speech,0.0058556293251613165,0.012717596518353165,0.005229449223928551,0.0008510590313089522,0.003859820724335027,0.003432949407209361,0.0034941146648069196,0.004010450853491423,0.003671789904417203
UCI_churn,0.0012377774099440679,0.0013504390793111505,0.0012377774099441032,0.0012377774099440679,0.012672461727821311,0.010354364993480246,0.007563010278783637,0.002847685487386661,0.012672461727821311
USPS,0.00983454195669267,0.013402700239060102,0.013229763628311192,0.00647523094744963,0.009248898852209916,0.010217534188070069,0.00954570069200905,0.009012188429532131,0.011546457810763645
artificial-characters,0.01566458003268964,0.011496983149832102,0.011087277080960987,0.006278603724168575,0.011908788371066221,0.011120437954447454,0.008842351296007927,0.012006163287278458,0.011393036946698543
banknote-authentication,0.011998775433990408,0.0381083474269643,0.036542177750843605,0.021354485675036554,0.035371058397908904,0.03462483415602143,0.03465307042882734,0.035371058397908904,0.03462483415602144
blood-transfusion-service-center,0.04360552283601219,0.05141260417914166,0.05046475201266925,0.004330326165275608,0.04941924809122171,0.0502715582801474,0.04936604111151749,0.04843919244138347,0.05251352991351021
breast-w,0.013816412262321718,0.017864488042250878,0.02090479120940045,0.02330484669430391,0.015476661645845439,0.015476661645845439,0.015476661645845439,0.017151309320749025,0.015476661645845439
california,0.011371194568037668,0.01124304485576395,0.05828182895699146,0.01142671951103442,0.07282282417305307,0.0349516861963945,0.035575732750015854,0.03439537894016514,0.07405699638334112
cardiotocography,0.00467241675600376,0.0,0.0014846373991401103,0.0,0.0014846373991401103,0.0014846373991401103,0.0014846373991401103,0.0014846373991401103,0.0014846373991401103
clean1,0.10789002640552882,0.10367688915788058,0.0788545017695469,0.09734408791756953,0.06840355931115362,0.0812921724718198,0.08582488276026463,0.0898702438633063,0.062463644703013056
clean2,0.014902164566815349,0.017724276119519173,0.01305928407740221,0.013619831416441392,0.017572639324887875,0.013372124550762227,0.015581560443182372,0.016745333878172466,0.014310752857986274
climate-model-simulation-crashes,0.04136263103148379,0.05593151254357676,0.026835882863313808,0.009562921842487491,0.02901891178652634,0.029215208805430243,0.028220072717685105,0.019520232470175206,0.028953183702613777
corporate_credit_ratings,0.013849989971917755,0.01861421201364401,0.014049120178067299,0.0189326290948839,0.004756282395129862,0.005081557066709206,0.00514673575083168,0.004447221354708781,0.004756282395129862
default-of-credit-card-clients,0.011616346507092501,0.009834682895463416,0.016251153805191793,0.00017213259316482796,0.01010445446325529,0.009162456945817035,0.009743690582774042,0.01010445446325529,0.009493402517434127
diabetes,0.05487728451151183,0.05591988751660163,0.0529221021384435,0.0036025036001006935,0.05928127380766807,0.05804271976656202,0.05947167457193159,0.05947167457193159,0.05991018726545483
ecoli,0.025253813613805298,0.016835875742536904,0.09259731658395264,0.0042089689356341374,0.02525381361380522,0.02525381361380522,0.02525381361380522,0.02525381361380522,0.02525381361380522
eeg-eye-state,0.01649704265753391,0.013870623296101683,0.013605353050177977,0.00028146663641902953,0.0058637006113041535,0.005558966069276842,0.005912893239734349,0.005999350926635155,0.005146396355788164
gas-drift,0.009946760265163926,0.010200998776382565,0.01114344904750876,0.016889816239620613,0.009787294500417647,0.011453736731926012,0.011709339562074206,0.009787294500417647,0.011657238812774197
gina_agnostic,0.020756591160410613,0.025744993619858176,0.02196429558289563,0.02546418312523061,0.024082639276518845,0.023091497603058838,0.02337773812384434,0.02467608613481707,0.024064437235892647
glass,0.07101125769028854,0.08043763867497583,0.14817405900888436,0.08423426041712082,0.12005827192594848,0.11608857799905327,0.11608857799905327,0.11608857799905327,0.12005827192594848
har,0.009636354432171442,0.010122577016875772,0.03562086621982706,0.01408333131114953,0.022559238430317236,0.02578993656423203,0.02502379783264852,0.022559238430317236,0.024952983041453995
heart-statlog,0.06590789044463773,0.08454762305315518,0.07660292374068428,0.06994674308254466,0.06994674308254464,0.06579216096036654,0.07209284602793298,0.07209284602793298,0.06579216096036654
ionosphere,0.09378823651257158,0.05361462103580792,0.03142696805273543,0.01667800068135075,0.029457170056284572,0.028394513999997335,0.029722195731863486,0.04435648893178144,0.029457170056284572
iris,0.07730012058189371,0.0,0.05488484015657096,0.07336699564097415,0.05488484015657096,0.05488484015657096,0.05488484015657096,0.05488484015657096,0.05488484015657096
isolet,0.01200978978839937,0.011132298079964091,0.013658020424615233,0.011992169134039183,0.015236216182267689,0.015698310866662842,0.014739591802478606,0.015352826318853074,0.016407863239487886
kc1,0.025870979434155412,0.031886285519372885,0.024338764689115333,0.007231069675997767,0.025776307724851264,0.025776307724851264,0.025484187901474557,0.025484187901474557,0.024488695146524814
letter,0.010108989398879921,0.009656460128961427,0.013772053022133062,0.012853879656439225,0.012152846031554363,0.011110055505411921,0.012199271380792485,0.012036518507349925,0.011635673117138055
madelon,0.04266746794119402,0.03125682042599135,0.02597222002482176,0.03125682042599135,0.028114656765632275,0.026572813144680286,0.027304983614305892,0.028029757832147978,0.02901234179330177
mc1,0.015631572620487068,0.015060391221095572,0.009515075811851612,0.006062808253757075,0.010069807210395501,0.011595519884898134,0.010313804681012275,0.009580975438370934,0.011813929529831318
mfeat-factors,0.02263232692902396,0.014230249470757707,0.019010231163478476,0.024720661623652246,0.0182650242570633,0.019923464669691457,0.02114106062723539,0.020303256443788064,0.0182650242570633
mfeat-karhunen,0.019867617426914144,0.0172320760340838,0.018715709384839678,0.020110804171997797,0.01822696415265639,0.019213710382606095,0.020419217527722362,0.0200277585143997,0.017360555546666354
mozilla4,0.016829734878252987,0.011553971491120292,0.0124297147264946,0.00023621710874219455,0.014327087050614608,0.014497528155564756,0.014529229316951105,0.014327087050614608,0.014520304715035997
optdigits,0.011173659412838802,0.012276290612569659,0.025905148523262127,0.004948197773336724,0.01771532806823471,0.016309177100843796,0.018563797311565315,0.01771532806823471,0.014338295723266241
ozone-level-8hr,0.02392325526677982,0.023170306975310157,0.02458116460063534,0.00012857309875053476,0.02791453323392144,0.02185092262926681,0.019287902519432704,0.019357507433664947,0.027340044540831342
page-blocks,0.01432278479178914,0.013622859482995152,0.03789198364743623,0.0023138689869806753,0.026306596439868164,0.026306596439868164,0.015571953633919266,0.015571953633919266,0.024096379809613527
parkinsons,0.12278477242136222,0.12703529244999098,0.10683763998389524,0.03927239124456095,0.09702761598679657,0.09702761598679657,0.08762099755232904,0.09170590111420844,0.10038246343777205
pendigits,0.00927629818644941,0.008686585543689939,0.009876365716919315,0.009183194055603338,0.00912009124025339,0.009230043972231185,0.009610473554486017,0.008781661522771239,0.0090221170291829
ringnorm,0.018787618162445147,0.011850357442374998,0.00401886631048568,0.0006978348371544619,0.00513790031445365,0.005024087745440948,0.005308821808499495,0.005206552532180131,0.00513790031445365
satimage,0.0195960568390161,0.005976270725538464,0.015238765110795667,0.005039456219601774,0.014034279878813945,0.014743995513708698,0.013680348267534009,0.013983443035157072,0.014160099085648536
scene,0.03531170005613337,0.010052489793627791,0.025390572401004206,0.011101867296478315,0.01893907911825243,0.018255043384835298,0.01759593410154754,0.016618572470036758,0.01893907911825243
segment,0.026486054653750916,0.010455538777914452,0.019679915868666447,0.023802963808349693,0.01870343635904144,0.017999960899870323,0.017459721168547385,0.01870343635904144,0.017608165611291887
semeion,0.02439983628551974,0.025175687470718685,0.027697204315028697,0.018894984090232943,0.03761644719096769,0.02985013764646544,0.03752454035202641,0.03784940258265299,0.025119892594011282
sonar,0.09244890589705271,0.10753895038701156,0.12943103781555873,0.12470171010414192,0.1526372266286467,0.1429719556267662,0.14572172059740263,0.1424069184087725,0.15514685538938067
spambase,0.014573733982479822,0.017458713134680257,0.016408286766043934,0.006535382144747723,0.01978383150620124,0.018556298499817898,0.01904533726653444,0.01978383150620124,0.019236895003555785
texture,0.023180530762428965,0.013832262894625809,0.018227216050694016,0.008031160617443642,0.017460436716227778,0.018478389333488016,0.018096770787841058,0.017485662498776516,0.016974025421997885
