dataset,BernoulliNB,ComplementNB,GaussianNB,MultinomialNB,PW-NB(auto),PW-NB(k=15),PW-NB(k=30),PW-NB(k=45),PW-NB(k=5)
JapaneseVowels,0.9411861494494168,0.9233579491721826,0.983949918193091,0.9344454018524762,0.9825369422515939,0.981664360928135,0.9811082932327505,0.9808500819053625,0.9825369422515939
LED-display-domain-7digit,0.9570885183939299,0.9234027340939459,0.9235545681140731,0.9519536367374017,0.9131534120109513,0.9143089016903542,0.9190901522159617,0.9194181715396331,0.9071151898261057
MagicTelescope,0.7753427565243947,0.8053802162697596,0.7571231670063896,0.8053802162697596,0.7619960020210874,0.7592519316502235,0.760977185448699,0.7619960020210874,0.7569795231861018
PhishingWebsites,0.9789278354021912,0.9806738581269027,0.9761854394448946,0.9806738581269027,0.9751848096170479,0.9755694539400203,0.9753741154242344,0.9751848096170479,0.9761147725873094
Speech,0.8468914045383157,0.863389618361994,0.801230682370813,0.863389618361994,0.74987993409013,0.7463571279995188,0.75568446356367,0.7654333207949481,0.7327627280917085
UCI_churn,0.7307937999761307,0.6317427497314715,0.5,0.6317427497314715,0.49798805048335126,0.4956017275331185,0.49679690297171497,0.49879385964912276,0.49798805048335126
USPS,0.9810557687933888,0.9291815180748427,0.9635202833586431,0.9829063527821799,0.9628463582610429,0.963110171748052,0.9627427941323754,0.962896443718994,0.9632329752154357
artificial-characters,0.7242761339791798,0.7047446626755122,0.7277640109259467,0.6948196442346655,0.740174720661115,0.7379019586701105,0.7396915471768238,0.7402553626496263,0.7337347526566071
banknote-authentication,0.8929100881861883,0.7886974328518763,0.9391249173604652,0.7886974328518763,0.9387388926862611,0.9390380758154702,0.9385007787725648,0.9386310410900573,0.9388884842508656
blood-transfusion-service-center,0.6926441921797959,0.7352969842907923,0.7055698887742231,0.7352969842907923,0.7246990024079807,0.7231796812292168,0.7291423001949318,0.7310285517715858,0.7201181057218209
breast-w,0.990276771336554,0.9684668240374762,0.9859744180939833,0.9684668240374762,0.9793582564778216,0.9793582564778216,0.9793582564778216,0.9804472716293369,0.98035257465964
california,0.7913616927330456,0.8273700500953816,0.8330326732235294,0.8273700500953816,0.8296554999743252,0.8243199508905936,0.8243650083671289,0.8242947856357373,0.8295491643424521
cardiotocography,0.9998107923728335,1.0,0.9995454545454546,1.0,0.9995432043204321,0.9995454545454546,0.9995454545454546,0.9995454545454546,0.9995432043204321
