dataset,BernoulliNB,ComplementNB,GaussianNB,MultinomialNB,PW-NB(auto),PW-NB(k=15),PW-NB(k=30),PW-NB(k=45),PW-NB(k=5)
JapaneseVowels,0.002442721164261185,0.002832790052147564,0.0013350871889898873,0.002774123290409087,0.0015705761116862765,0.001628855570520275,0.0016542173839915204,0.0016700063711809134,0.0015705761116862765
LED-display-domain-7digit,0.019439168001274196,0.021103451944218046,0.045004262448184076,0.017879649983279504,0.047435126951804324,0.050365930019495464,0.045784674969990294,0.04598851593932002,0.04898316918255211
MagicTelescope,0.011025294202001636,0.00978415280074759,0.008411399569796434,0.00978415280074759,0.009075582968461657,0.00917281466489491,0.009102485612578013,0.009075582968461657,0.009261232629003165
PhishingWebsites,0.0018380279468445592,0.0016984312928380423,0.002178104888794719,0.0016984312928380423,0.0021712514906146916,0.0022465830392782845,0.002225394363254117,0.0021712514906146916,0.0021822825695079584
Speech,0.06867109223450465,0.06427583852962618,0.07949465293310033,0.06427583852962618,0.07262376808435507,0.07358457851630769,0.06632537700355515,0.06008109208389854,0.09185302115777033
UCI_churn,0.02800079650619425,0.03716408211044931,0.0,0.03716408211044931,0.00941911458635402,0.006693185663724844,0.0057062440180574905,0.0038141506866065846,0.00941911458635402
USPS,0.002547008473164942,0.004317878200508732,0.0039569574773916415,0.0019404078428857429,0.0023533542274631696,0.002754284848931525,0.002476475911782543,0.0022955196810321063,0.003201038261265897
artificial-characters,0.012679361347149979,0.00904652230104565,0.0068511393171336,0.007889085189995322,0.0078021135589213695,0.007541823174019171,0.007574745014409305,0.007759652221655248,0.007274694926058002
banknote-authentication,0.03245131823613764,0.034791204064853504,0.01672136209335067,0.034791204064853504,0.016911614851494235,0.016073503552482868,0.01633432781196648,0.016826177174289598,0.016695916984628172
blood-transfusion-service-center,0.07638308822807117,0.06918815068315318,0.06926120995529846,0.06918815068315318,0.05724992279081174,0.05668400125225851,0.05722809259453297,0.0576810270406512,0.05516545214376284
breast-w,0.007358301384163172,0.018471404305038717,0.013573873128417022,0.018471404305038658,0.012119323929584518,0.012119323929584518,0.012119323929584518,0.009700842194673319,0.009642142708513499
california,0.010271997935932496,0.007736902694517846,0.013827515554927018,0.007736902694517846,0.014631904322940283,0.013967841480019247,0.013969542725565403,0.013916055936072822,0.014774335057124176
cardiotocography,0.0005513199183736393,0.0,0.001437398936440141,0.0,0.0014445147727591852,0.001437398936440141,0.001437398936440141,0.001437398936440141,0.0014445147727591852
clean1,0.08096096964556812,0.08734342393537942,0.05431054890342746,0.08734342393537942,0.0531410646345535,0.05862412000503033,0.06888466225810055,0.0691247909736034,0.05382894156819024
clean2,0.028637667497087776,0.02786819024674004,0.01337866672887618,0.02786819024674004,0.019494579886218947,0.018257200938410493,0.0193436521881088,0.02027424984714425,0.018633220364897247
climate-model-simulation-crashes,0.08019300264481763,0.07040984009965506,0.08637539894159867,0.07040984009965506,0.08453393703271103,0.0838821474208333,0.08768735519764347,0.08649338447459094,0.09083825055755662
