dataset,BernoulliNB,ComplementNB,GaussianNB,MultinomialNB,PW-NB(auto),PW-NB(k=15),PW-NB(k=30),PW-NB(k=45),PW-NB(k=5)
JapaneseVowels,0.6995956005261496,0.5828413417485635,0.8492116151247531,0.2867197717788442,0.8454849801260609,0.8432143824535763,0.842322665629385,0.841074891475326,0.8454849801260609
LED-display-domain-7digit,0.7301666666666666,0.5821666666666666,0.657,0.7255,0.7105,0.7051666666666667,0.7171666666666667,0.7131666666666667,0.6775
MagicTelescope,0.6974907093224406,0.7580098218074603,0.646723572984623,0.5266026499367255,0.6514992213123666,0.6502889485650825,0.6513989126719035,0.6514992213123666,0.6492900828718804
PhishingWebsites,0.9275822961712266,0.9279446604659031,0.7390295928268877,0.9266609533914636,0.789791555332293,0.777958969911472,0.7879657562765288,0.789791555332293,0.7621907451511885
Speech,0.615536309496631,0.7320058227391226,0.6476776446389707,0.5,0.5799355758923815,0.5967399836058801,0.5723794956090285,0.571050897871591,0.5803499405332655
UCI_churn,0.5,0.500844969566774,0.5,0.5,0.49798805048335126,0.4956017275331185,0.49679690297171497,0.49879385964912276,0.49798805048335126
USPS,0.8153029701837037,0.5855679981732352,0.7613219795193661,0.827640810648588,0.7749864093723473,0.7722140596679699,0.7721021564403469,0.7753900507327046,0.7721769655628934
artificial-characters,0.2502338908451223,0.20907258791475475,0.2854383169096651,0.14401064858067886,0.305757198713276,0.29835510141070154,0.301800120437973,0.30562911229352296,0.29704341468178774
banknote-authentication,0.8485872841567407,0.7266948107974855,0.8332489663054805,0.590983606557377,0.836031537487534,0.8352118653563865,0.8333999585401657,0.836031537487534,0.8348883105677756
blood-transfusion-service-center,0.6472394220846234,0.6710268317853457,0.5521327829377365,0.5,0.5657464740282078,0.559296525627795,0.5619281045751634,0.5628052975576195,0.5641382868937048
breast-w,0.9707048748353098,0.8993412384716732,0.9670833333333334,0.887173364075538,0.9676515151515153,0.9676515151515153,0.9676515151515153,0.9687878787878788,0.9676515151515153
california,0.7402832446108617,0.73955551357529,0.622490253686118,0.7396041511590312,0.6075175377258476,0.5622168211791065,0.5654635561169632,0.5673533259648569,0.606257847803367
cardiotocography,0.993836618283677,1.0,0.999090909090909,1.0,0.999090909090909,0.999090909090909,0.999090909090909,0.999090909090909,0.999090909090909
clean1,0.7328500203500203,0.6853795278795278,0.8168019943019942,0.6968264143264143,0.7974420024420025,0.7893864468864469,0.7746459096459096,0.7672385022385022,0.7973707773707773
clean2,0.6665283709447889,0.7590586865015913,0.8408737728501239,0.7071453103632523,0.8055783617215326,0.8138093295518972,0.8035337868784656,0.8028752118999091,0.8215716994112707
climate-model-simulation-crashes,0.580234693877551,0.8230102040816327,0.7149897959183673,0.5,0.576295918367347,0.5662959183673469,0.5783367346938776,0.5858163265306122,0.597295918367347
corporate_credit_ratings,0.4556,0.3884,0.26739999999999997,0.5309999999999999,0.24379999999999996,0.2434,0.24359999999999998,0.24299999999999997,0.24379999999999996
default-of-credit-card-clients,0.5802049004464925,0.6462035853153218,0.5601377390930038,0.5,0.5610890398240145,0.5601269635633634,0.5602871682179011,0.5610890398240145,0.5587936288725928
diabetes,0.6846894586894587,0.6206182336182337,0.7211310541310542,0.5,0.7086581196581196,0.7058774928774929,0.7003219373219374,0.7003219373219374,0.7095099715099715
ecoli,0.456375132260047,0.43704966245968835,0.4994689787064585,0.125,0.5635369654718818,0.5635369654718818,0.5635369654718818,0.5635369654718818,0.5635369654718818
eeg-eye-state,0.5675019860167284,0.5456422744724697,0.49932682221269714,0.500074294205052,0.5003940620592375,0.5002237669132564,0.49997066491623654,0.5001468869179947,0.5003931218592313
gas-drift,0.5256653775844298,0.44718072091264227,0.5571982452376304,0.5776944631120763,0.5900726128617386,0.5742450749625502,0.5822085971002062,0.5900726128617386,0.5695026768116062
gina_agnostic,0.7964816247032427,0.7940862344518809,0.7825163332437562,0.794076207713913,0.7800773960680425,0.7788593284474064,0.77857512258546,0.7774354972032336,0.7792284483603946
glass,0.6076940035273368,0.37415490887713104,0.4911081716637272,0.2965534979423868,0.5725308641975309,0.566247795414462,0.566247795414462,0.566247795414462,0.5725308641975309
har,0.820692731244921,0.5418036758190263,0.7499828044823549,0.8255087939160377,0.7206859581002291,0.7013703145122354,0.7106412655073616,0.7206859581002291,0.6892868719666392
heart-statlog,0.8291666666666666,0.8208333333333334,0.8291666666666666,0.8191666666666666,0.8375,0.8341666666666667,0.8366666666666667,0.8366666666666667,0.8341666666666667
ionosphere,0.7581053004966049,0.7354831762440458,0.8567244349853045,0.519551282051282,0.8607922874227223,0.8585195601499949,0.8563456471065166,0.8357846863281646,0.8607922874227223
iris,0.7533333333333333,0.6666666666666666,0.9533333333333334,0.7933333333333333,0.9533333333333334,0.9533333333333334,0.9533333333333334,0.9533333333333334,0.9533333333333334
isolet,0.8662201591511935,0.6291644562334218,0.8438373121131739,0.8804818744473917,0.8654376657824934,0.8650530503978778,0.8667197170645446,0.8664633068081343,0.8636206896551724
kc1,0.7039597789615444,0.6952503950511961,0.6366845872255922,0.523188467952705,0.6376395102554007,0.6376395102554007,0.6389211113789961,0.6389211113789961,0.6394813398643392
letter,0.4199351788272175,0.405656148830584,0.6423977917255522,0.5201111783352289,0.6570318316760828,0.6556420496593551,0.6561840902835806,0.6571859962519935,0.652553146958434
madelon,0.5853846153846154,0.5946153846153847,0.5861538461538461,0.5946153846153847,0.6003846153846154,0.6007692307692307,0.6030769230769231,0.6,0.6011538461538461
mc1,0.8214922183270698,0.8344611256235211,0.6469423997591696,0.6452322363246161,0.665551425722896,0.6774966578297419,0.6651258938080025,0.6654982342335344,0.6454530380570419
mfeat-factors,0.882,0.7495,0.9235,0.875,0.9235,0.9205,0.9205,0.917,0.9235
mfeat-karhunen,0.8615,0.8695,0.9315,0.9109999999999999,0.931,0.9295,0.9285,0.9269999999999999,0.9324999999999999
mozilla4,0.7156918156309748,0.7650165087862284,0.734044510438533,0.5,0.7529537115718422,0.7485631828328473,0.7515228943086113,0.7529537115718422,0.7474617981439786
optdigits,0.8954292196007259,0.8207112432334756,0.7923859747330708,0.9073991444127559,0.8357190723674389,0.8346565925000589,0.8330465387606948,0.8357190723674389,0.834469612510901
ozone-level-8hr,0.7579029713151083,0.7681174210190405,0.7505550163103216,0.5,0.7443352657518704,0.7501282000141829,0.7555729886891466,0.7547291068326064,0.7445462362160054
page-blocks,0.6125704329194283,0.6721311994190577,0.6704780690893838,0.20651515151515148,0.7081034749536996,0.7081034749536996,0.7049732845192274,0.7049732845192274,0.7251107327183715
parkinsons,0.7646428571428572,0.7398809523809524,0.7875,0.6950000000000001,0.7608333333333334,0.7608333333333334,0.7677380952380952,0.7641666666666667,0.7775000000000001
pendigits,0.8093999888975926,0.6966572789644332,0.855336563311478,0.7992600882846986,0.8548240042271388,0.8546840912782366,0.8533367257355859,0.8522458977632763,0.8549986800471236
ringnorm,0.7041752516671511,0.5151359690535928,0.9793778721538349,0.5,0.9731453431804475,0.9708178808383803,0.9698542914538016,0.9688991240203209,0.9731453431804475
satimage,0.7032494053923096,0.4872712806349987,0.7855165377323896,0.4838861507469535,0.7904380686100638,0.789151977838328,0.7862808423944888,0.785168983504808,0.7911887545225154
scene,0.7931203637126787,0.8996179627701879,0.8811479360956991,0.8723475011000097,0.889184400968724,0.8877156943058253,0.8839252518097991,0.8882227719289458,0.889184400968724
segment,0.7233766233766235,0.49567099567099565,0.7965367965367965,0.7692640692640693,0.8138528138528139,0.8103896103896104,0.8121212121212121,0.8138528138528139,0.80995670995671
semeion,0.8523946078431373,0.742671568627451,0.7883725490196078,0.8447279411764705,0.8036495098039216,0.7991176470588235,0.8048995098039216,0.8036495098039216,0.7920808823529412
sonar,0.7503787878787879,0.7443939393939394,0.6883333333333332,0.7496464646464647,0.6790404040404041,0.6885858585858586,0.6754040404040405,0.685959595959596,0.6784848484848485
spambase,0.8911171704037786,0.8574979289112242,0.8442574157422561,0.8699239423974303,0.856142549126654,0.8554405550277611,0.8556042700724781,0.856047035321463,0.8544644802997166
texture,0.5652727272727274,0.6052727272727273,0.7736363636363637,0.8596363636363635,0.7836363636363636,0.7785454545454545,0.7821818181818182,0.7847272727272727,0.7774545454545454
thyroid-ann,0.6819540778798758,0.627026717459481,0.3913544811484738,0.3369415260532739,0.4706031954866582,0.47562428532880796,0.48198911013000006,0.46256895945030047,0.4651390282840785
vehicle,0.46764610389610384,0.47511819321029847,0.459262360446571,0.5399757917521075,0.4798476304397357,0.47032923217133743,0.4739547732968785,0.47843529277739805,0.48555109364319887
vowel,0.34444444444444444,0.08888888888888888,0.3555555555555555,0.04646464646464646,0.14343434343434341,0.15656565656565655,0.1545454545454545,0.14343434343434341,0.19696969696969696
waveform-5000,0.7827989518220123,0.7320798798141654,0.8000990035302852,0.8182655549155031,0.8093539969029256,0.8097437494390011,0.8091520902244339,0.8079733830532501,0.8093539969029256
wilt,0.5,0.6663772969920428,0.7356491210417997,0.5,0.677032774680716,0.677032774680716,0.6533763370703067,0.6346155288990182,0.6926592516312831
wine,0.934404761904762,0.8859126984126984,0.9793650793650794,0.9430158730158731,0.9746031746031747,0.9746031746031747,0.9746031746031747,0.9746031746031747,0.9746031746031747
wine-quality-red,0.288030992447195,0.2828106679520269,0.30633783024715094,0.21247823253697612,0.3064938984111315,0.30560800267221044,0.30560800267221044,0.30560800267221044,0.3064938984111315
wine-quality-white,0.2179088905921692,0.2271648965754763,0.30183642553414136,0.14279220779220775,0.2746875424543406,0.2746875424543406,0.2746875424543406,0.2746875424543406,0.2746875424543406
