dataset,BernoulliNB,ComplementNB,GaussianNB,MultinomialNB,PW-NB(auto),PW-NB(k=15),PW-NB(k=30),PW-NB(k=45),PW-NB(k=5)
JapaneseVowels,0.013993703264676076,0.010228432901393072,0.01159990144872577,0.006896761956370353,0.013488118760615179,0.012375391350586946,0.012603579615090607,0.01206140698008857,0.013488118760615179
LED-display-domain-7digit,0.05734587502790457,0.04942290417195377,0.11395201502560223,0.0769200723534774,0.0892529004958022,0.09051106609923311,0.08366987598979785,0.08495260116349845,0.08495914050621955
MagicTelescope,0.011642676992958928,0.008922383481264985,0.005928519225583765,0.004867643465845428,0.00700016305408486,0.00705939721671557,0.006658641751961003,0.00700016305408486,0.006889952103864724
PhishingWebsites,0.0074410735523547395,0.008422805703787064,0.007044268898183973,0.008014211843775421,0.012449380089926187,0.009744775022218006,0.012161835881944133,0.012449380089926187,0.010289137484708324
Speech,0.06121588395818358,0.09080370453112879,0.08175694871704384,0.0,0.06815025093450344,0.07648471625137994,0.04709338215227042,0.04775202569872991,0.06794614582979125
UCI_churn,0.0,0.003334356782749124,0.0,0.0,0.00941911458635402,0.006693185663724858,0.005706244018057511,0.0038141506866066215,0.00941911458635402
USPS,0.010098804903394222,0.015095542394172334,0.01505022102221281,0.0063377555151817085,0.010751364334699219,0.011689361882339225,0.010884050820552476,0.010318189516127858,0.013244279498558895
artificial-characters,0.014650875402158937,0.01327085402119641,0.010516662979116269,0.005341804049405705,0.012052359207211127,0.01110001695511156,0.0086329036908054,0.012181866824223023,0.01092253671243245
banknote-authentication,0.011740775676582263,0.03936232954397531,0.04027625653543662,0.02426930928000269,0.03878991551610884,0.03809472303486947,0.038142122914951136,0.03878991551610884,0.0380561125748325
blood-transfusion-service-center,0.06369840348949228,0.06005420963721669,0.06843467924227364,0.0,0.07210547854220238,0.07113575413916597,0.07082707409614969,0.07018725372465205,0.07308405512553569
breast-w,0.0158735198123503,0.017603384395863498,0.020421441842636213,0.0305364177928813,0.014053559065886038,0.014053559065886038,0.014053559065886038,0.015320304689004222,0.014053559065886038
california,0.011376908581903168,0.011243603923239694,0.05833377327453386,0.011427253957655583,0.07284912098360272,0.0350130704786595,0.03564130115863789,0.034459694566010536,0.07408246826734699
cardiotocography,0.006457708817825251,0.0,0.0028747978728803562,0.0,0.0028747978728803562,0.0028747978728803562,0.0028747978728803562,0.0028747978728803562,0.0028747978728803562
clean1,0.10235963624141173,0.09495648558300197,0.07691222207276424,0.0893597100210844,0.06414913243963495,0.07773924329268592,0.08177389953833275,0.08491314696206888,0.05907521728096746
clean2,0.02728300177968509,0.028910454478312655,0.02362395099223231,0.029040776303180763,0.0312866323595565,0.025916807456349642,0.029832627803851736,0.033073804269825646,0.028378487875618388
climate-model-simulation-crashes,0.10126050912164891,0.09121816433958659,0.13465049849471344,0.0,0.09321726348620289,0.08479607595129313,0.09448034375275556,0.09455303908027017,0.10191912528312579
corporate_credit_ratings,0.013849989971917756,0.01861421201364402,0.014049120178067283,0.01893262909488389,0.004756282395129862,0.005081557066709206,0.00514673575083168,0.004447221354708781,0.004756282395129862
default-of-credit-card-clients,0.012441685293767345,0.014279931204285664,0.00880384438496272,0.0,0.007409031564456308,0.00685489099041215,0.007665904640298014,0.007409031564456308,0.008118224951658263
diabetes,0.06118622475786556,0.05376586977608456,0.056150684601596515,0.0,0.05988348185815963,0.058818525427523714,0.06136688803206622,0.06136688803206622,0.059961665554153144
ecoli,0.14112908606163233,0.016759894137043315,0.1871378678755691,0.0,0.04179131540463305,0.04179131540463305,0.04179131540463305,0.04179131540463305,0.04179131540463305
eeg-eye-state,0.016584048457899306,0.014003994622665626,0.005388590187111016,0.0002349389049159263,0.0049045980063063795,0.0045220888372722225,0.004880381230587352,0.0049453815270531915,0.004345763979203016
gas-drift,0.010028965351152296,0.010200665645556897,0.012940642720210109,0.01884322296796383,0.009934381237415222,0.012278173050651514,0.01257376326764045,0.009934381237415222,0.012707640537975197
gina_agnostic,0.020644795340156653,0.025544823072351095,0.021922022337285515,0.025272978849263113,0.024045093047490643,0.023011978067769213,0.023318709075133812,0.024570494284937773,0.02398936117909462
glass,0.13617775458532624,0.09132585396979884,0.14659101391221133,0.06404762079295385,0.17229637291077193,0.1832875896343868,0.1832875896343868,0.1832875896343868,0.17229637291077193
har,0.010274526631172325,0.009874472579958058,0.0332753737205871,0.014349842590173426,0.021934420473850472,0.024649213494634323,0.023892154906474887,0.021934420473850472,0.024124287067030882
heart-statlog,0.06930541638819249,0.08445997664172654,0.0763004538601132,0.07297154019898679,0.06829606029524583,0.06424418117475555,0.07138402490995922,0.07138402490995922,0.06424418117475555
ionosphere,0.0870605789051596,0.06750931519801757,0.03614942741965396,0.020631003034637187,0.029391093260273903,0.028198769173598474,0.03003610012777294,0.04070546377885224,0.029391093260273903
iris,0.0773001205818937,0.0,0.05488484015657096,0.07336699564097413,0.05488484015657096,0.05488484015657096,0.05488484015657096,0.05488484015657096,0.05488484015657096
isolet,0.01198727004272645,0.011104132667267645,0.013673676448454061,0.011970588488258067,0.015201350831839044,0.015669742408589468,0.014703526949177375,0.015301935303319178,0.01635244525446523
kc1,0.030642360572624164,0.03662581809155271,0.038177056519318964,0.023304188718664694,0.03972118772931258,0.03972118772931258,0.0360029113670325,0.0360029113670325,0.03584714872266388
letter,0.010307937788437117,0.00929685803207981,0.013845656070479146,0.012883044803576122,0.01223505046648162,0.01114297575065811,0.012288917029281298,0.012117904498784868,0.011689552996072317
madelon,0.042667467941194054,0.03125682042599131,0.025972220024821756,0.03125682042599131,0.028114656765632233,0.026572813144680248,0.02730498361430589,0.028029757832147954,0.029012341793301748
mc1,0.08408029519156442,0.09315799960698984,0.10710428396938797,0.08414979188274713,0.12150209082420006,0.12422612601363005,0.12160361565261049,0.12109822676554223,0.10635334520214729
mfeat-factors,0.02263232692902398,0.014230249470757723,0.01901023116347851,0.02472066162365217,0.01826502425706333,0.019923464669691467,0.02114106062723543,0.020303256443788074,0.01826502425706333
mfeat-karhunen,0.01986761742691419,0.017232076034083773,0.018715709384839678,0.020110804171997825,0.018226964152656396,0.019213710382606077,0.02041921752772231,0.020027758514399654,0.017360555546666358
mozilla4,0.021421708547317543,0.011607525244644243,0.011557116636945862,0.0,0.01466896944289142,0.014779038755769362,0.014758040137919622,0.01466896944289142,0.014625628777726501
optdigits,0.011173806672528276,0.012079725587263918,0.025907705010312837,0.004916395087712259,0.017770114169870038,0.016303375540736905,0.018617858574966076,0.017770114169870038,0.01424316073905244
ozone-level-8hr,0.05480604196281928,0.03600256485873685,0.042884102812038326,0.0,0.06385482007254503,0.053331894924268514,0.04969575859821334,0.04970338458483407,0.06361241478148183
