dataset,BernoulliNB,ComplementNB,GaussianNB,MultinomialNB,PW-NB(auto),PW-NB(k=15),PW-NB(k=30),PW-NB(k=45),PW-NB(k=5)
JapaneseVowels,0.4094681812368813,0.8811377662654889,0.20936997006793773,0.8232106657740366,0.21438254831387177,0.21749048174113925,0.22043749116234918,0.22197004983474938,0.21438254831387177
LED-display-domain-7digit,0.37474716137591874,0.8749462634382908,0.5630749458593778,0.532202326179166,0.5677090561761542,0.5718385524210033,0.5551368684083388,0.5528361888376422,0.6068340254404443
MagicTelescope,0.3435117657620543,0.4438833311576369,0.4720686904582534,0.4057736479335922,0.4755411993205206,0.477745054482115,0.47648903679938676,0.4755411993205206,0.47978336727243853
PhishingWebsites,0.11653776638316207,0.10640532241954612,0.5487150920481383,0.10642485091733211,0.43679495812656155,0.4597956008737607,0.44173013596983085,0.43679495812656155,0.49569753112627024
Speech,0.04814685879459946,0.38583988118988133,0.04833763451117927,0.03229679529119491,0.03297962487413189,0.033453511889194334,0.03511751565107973,0.035474856447925876,0.03237082175544374
UCI_churn,0.2807554095040677,0.24615679385744463,1.7101742461023899,0.27703897631321883,1.6435633238028449,1.6927604250957544,1.6975652299005592,1.708372444300588,1.6435633238028449
USPS,0.3290942894719832,0.5363268012779494,0.43027190744039345,0.2767602915619576,0.4073408677302385,0.4125987746606037,0.41227345478293687,0.4068237932402142,0.41372775082337043
artificial-characters,0.8321627901949515,0.8977433873209731,1.1751165670893045,0.8723366595214317,1.148690547582497,1.1497515049814127,1.147520198522435,1.1488699389143668,1.162661092939037
banknote-authentication,0.2428718447893567,0.4634109335469166,0.20941980820590436,0.4585445085328367,0.2103246455548497,0.209051590270315,0.21062121035423967,0.21046475069116405,0.20934615018510358
blood-transfusion-service-center,0.3385023970560296,0.4743487599198337,0.3752714287445006,0.3488077085508783,0.39267684177594925,0.3979078915576763,0.39139311072539246,0.3863178293391577,0.40270047133739756
breast-w,0.05334071929801385,0.32848458243463863,0.07121454823326463,0.24011859702318739,0.07706271131878853,0.07745851450404835,0.07690124077838585,0.07522697977802745,0.07825026231960741
california,0.3695699633654258,0.4775749985986182,0.44150253023895336,0.4775750077479294,0.49814656223450415,0.5796983768480963,0.5716195052908827,0.5658319308386146,0.5012113800678244
cardiotocography,0.00681869496927537,0.0025921342927599103,0.00093830093381343,0.0009330726028452099,0.00093852614624064,0.00093867608086982,0.00093879188053338,0.0009387885748551501,0.00093852614624064
clean1,0.4917504871580425,0.42649603748301657,0.36085217135571396,0.4141242369953767,0.40167536125992376,0.4135927201099355,0.43447848888590473,0.4538059023077877,0.3975507868087923
clean2,0.507714861325629,0.3357469991626528,0.21984700565483045,0.23952681195158915,0.2596818608901042,0.2584486048170523,0.2602903871973859,0.2458132699451367,0.265922675419284
climate-model-simulation-crashes,0.14089111325092643,0.4056705272464597,0.15863157208761783,0.14690310820898667,0.14346880279071988,0.14457147243424226,0.14034714936834286,0.14039609197443884,0.14581872951147237
corporate_credit_ratings,0.689889016685599,0.8939810830548869,0.8673361953328506,0.8467141444381866,0.8678693308796686,0.8695689327149259,0.8709363924240732,0.8719967813203411,0.8677176912356398
default-of-credit-card-clients,0.4113854708813972,0.4694942663002153,0.8102424124989891,0.3287637670921397,1.0892877510922518,1.1042971940252806,1.0970994822019207,1.0892877510922518,1.1252166976402926
diabetes,0.3795907774707462,0.49065685682678034,0.35948938618360965,0.4465733569544105,0.4038121754935643,0.40676049980495976,0.41165155424590766,0.4149654822539053,0.4024671415204205
ecoli,0.32691163307857324,0.8624906426587661,0.33335585207329355,0.6852806490497605,0.3014028652085021,0.3014028652085021,0.3014028652085021,0.3014028652085021,0.3014028652085021
eeg-eye-state,0.520491849498216,0.49993006949300567,1.047018434386169,0.49468279198716375,1.0925485811853226,1.0916252713523409,1.0926366842836053,1.0930022511320971,1.089778248612357
gas-drift,0.9173584241257254,0.7027927145600171,0.8770093002619965,0.5703211760020055,0.8140354096357006,0.8378252061424096,0.8227089979233353,0.8140354096357006,0.8518461036573057
