dataset,BernoulliNB,ComplementNB,GaussianNB,MultinomialNB,PW-NB(auto),PW-NB(k=15),PW-NB(k=30),PW-NB(k=45),PW-NB(k=5)
JapaneseVowels,0.012833198928619982,0.00016748644301274186,0.011257390531259693,0.0009636138923998662,0.012434082296444632,0.012833666844977535,0.013150431526080471,0.013267877013301742,0.012434082296444632
LED-display-domain-7digit,0.08280278898033064,0.0011040624016051645,0.21391615148207027,0.025362151565780526,0.15364185676855163,0.15191184011836364,0.14619980462734483,0.14368750246746384,0.15958156702722587
MagicTelescope,0.007329869364009909,0.0014805880361840702,0.008743579523536493,0.0019661214782575142,0.008600008459454163,0.00876871776260639,0.008701298821960843,0.008600008459454163,0.008997852747568449
PhishingWebsites,0.01022445374495212,0.008668485361941473,0.0191334607026049,0.009050438881682402,0.02564932960451747,0.024457856838346274,0.02514159354400876,0.02564932960451747,0.02279764653105066
Speech,0.008671261468741595,0.004888169185770224,0.008112806081313543,0.0016805111956437755,0.005313245425240028,0.005693419111418169,0.006566403997189637,0.0062036934774562695,0.004400131680097993
UCI_churn,0.004050384439496579,0.0064635574271024,0.0024755548198881357,0.002905340573934746,0.02534492345564259,0.02070872998696058,0.015126020557567408,0.005695370974773411,0.02534492345564259
USPS,0.02014405246432918,0.008562922070902972,0.02474554066222981,0.008814965659503671,0.01909838224559438,0.021248246022448482,0.019448597407170906,0.01869960703950958,0.023254145235447523
artificial-characters,0.00871329281999551,8.957946601496974e-05,0.021065074340635887,0.0008784592115339817,0.023251132173095684,0.0209288286538093,0.02222912633400349,0.023288274304635797,0.020942837105927755
banknote-authentication,0.01815876875894501,0.0035783128761709424,0.03650389219885931,0.0034856459482128076,0.0376512546004336,0.03603783679818466,0.03621216085322408,0.03752435880154278,0.036351475487156226
blood-transfusion-service-center,0.04241404574184528,0.009155992878610384,0.07250611933577128,0.0070132350202102645,0.07249782821535532,0.07416482195638337,0.07193924404768844,0.07005750243001237,0.07536758024507731
breast-w,0.02700260281978605,0.007229729729499508,0.04050639907934994,0.010313847739087499,0.03181991349533593,0.03177200336694598,0.031838721889777565,0.033447669695312016,0.031081518290999945
california,0.012151256292610664,0.00044681406626278933,0.06338338318887,0.0004468506252324594,0.08646002370254585,0.07211854762839551,0.06909989624742018,0.06424551559033143,0.09057046900484227
cardiotocography,0.00420825732954215,6.836927622354817e-05,0.0029671680815133387,9.372939716617129e-05,0.0029678802657406972,0.0029683544006690386,0.0029687205913581697,0.0029687101378857517,0.0029678802657406972
clean1,0.20916936090405872,0.1412785694736026,0.14523776697546184,0.13067228562900796,0.1388211874765689,0.15175522125659915,0.15920621744651153,0.16264985913873414,0.13338054460068866
clean2,0.0290002083816618,0.028833426149952615,0.025148309917680047,0.02291532200679333,0.03232585826118032,0.027129353610551604,0.028877685659720067,0.0316806224605728,0.0283741379637664
climate-model-simulation-crashes,0.0341533723752087,0.014837160777771108,0.04182156848615103,0.013622574189120596,0.03578992767098413,0.03434750164532916,0.03699683560371313,0.03710307009284655,0.040867446635657556
corporate_credit_ratings,0.012446174862533157,0.00023220122434365102,0.0027283145858192385,0.0020134553723466695,0.0032834616988525337,0.0028329440667047984,0.0028597345987645827,0.0028786205892148784,0.0031320974896958177
default-of-credit-card-clients,0.01045341825435642,0.0019332738911066701,0.05712074969708807,0.00132325401397952,0.025723494196920434,0.025154349186475917,0.02569476345868915,0.025723494196920434,0.028458728776085067
diabetes,0.05625800659531075,0.00452288798332237,0.07296343953150944,0.004225083160151121,0.08627086244701238,0.08900404477338016,0.08907802542800333,0.08849644241915924,0.08965716707374004
ecoli,0.003354794548759965,0.0009544267119800796,0.16614400127635023,0.004105343678578303,0.0006574693402958382,0.0006574693402958382,0.0006574693402958382,0.0006574693402958382,0.0006574693402958382
eeg-eye-state,0.018578771418661252,0.0001501216785861402,0.1488926123626822,0.0001484271955761004,0.01296087305474794,0.012200175766629566,0.012677399557714356,0.013180183729880763,0.011615524198602773
gas-drift,0.020326987807093654,0.004887089690550363,0.021889062006934395,0.009959622740632527,0.021006482502360795,0.02436012448594095,0.023509427526994905,0.021006482502360795,0.02394194032712504
gina_agnostic,0.04177477931189338,0.04653768290268663,0.04400683050540404,0.046489532336885374,0.04781385478701451,0.046306471439565074,0.046124885733931476,0.048445962779802745,0.04790444464542693
glass,0.09617538637763093,0.007769154578869627,0.290847112565094,0.018102662256121557,0.2073059963222199,0.2145496808592722,0.2145496808592722,0.2145496808592722,0.2073059963222199
har,0.019379546238875986,0.011242050939882915,0.0717995246840104,0.01878952558335862,0.044382705605464166,0.05098426903969039,0.04997667840427828,0.044382705605464166,0.04987518997581921
heart-statlog,0.10457585051440595,0.06356080465259042,0.12001883482027971,0.06466094344990139,0.1273169329973891,0.1252273037659669,0.12279645172773573,0.1234703581904159,0.1266381906047415
ionosphere,0.1755547545868789,0.011864186555832837,0.06257208401521644,0.012865595443247,0.06384894161860047,0.05986348447559696,0.05921575252754746,0.07690976430090832,0.06384894161860047
iris,0.0842722389251434,0.004882600799784364,0.08324729987062092,0.008514861588144575,0.08979469556223539,0.09002171879932651,0.09136883986066914,0.0907797725445307,0.0898019380245496
isolet,0.024718198732947578,0.004205488545051652,0.0264474076726475,0.014912700329319161,0.03097892433220106,0.030668235846376277,0.03115773788195984,0.030516955952750315,0.03230003868580935
kc1,0.04876802617714597,0.00902289926499765,0.0469285846885768,0.0066912165944413024,0.04967215855457319,0.04911498601314757,0.049658639486813407,0.04949681216156207,0.04873674963095042
letter,0.008870776273058866,1.2884422228426056e-05,0.015821059959375498,0.0003570014864661396,0.018273483541474112,0.016867524885385676,0.01800176243101181,0.019557520163597103,0.0163341126429594
madelon,0.06080797429444397,0.002997582218609233,0.035219879664126284,0.002997582218606467,0.04186153454961789,0.04146115964574763,0.039605815594967876,0.03833174863120856,0.040642041312260804
mc1,0.032102944124059944,0.018708065517355658,0.019421367429824785,0.009133549527618,0.018539861911163198,0.02066044393692329,0.020682940280659853,0.01776124793475324,0.023205801033882506
mfeat-factors,0.04195783656330982,0.0062059889271219755,0.03643060954366862,0.03556304181494692,0.03667477437678886,0.037440723119109856,0.04059974630863011,0.039734843944185465,0.03667477437678886
mfeat-karhunen,0.029302221069721093,0.00047342195328081655,0.025155147607793544,0.006181805785917084,0.027935130202586256,0.026979561270979807,0.030283911993490068,0.03125548730677473,0.027090377424134334
mozilla4,0.01327709962498128,0.004206501998408531,0.01853607762354567,0.0028496107294352494,0.024398466499001587,0.023935511287338146,0.024204721059237534,0.024398466499001587,0.023169325951146104
optdigits,0.01577101403216379,0.005157326809462822,0.053224759765567405,0.0075328655420334074,0.036254893434143176,0.030599429090205764,0.035581182504359314,0.036254893434143176,0.029909457267934713
ozone-level-8hr,0.04539039417024769,0.020194752143229744,0.04963999794322097,0.006405565791654987,0.05032338338540654,0.04353496439253743,0.04192982142525559,0.04138710785174402,0.05160893377404667
page-blocks,0.019765888680781062,0.002795459052131987,0.05550944068794184,0.00468962604936365,0.04354926700470629,0.04354926700470629,0.025833765502906746,0.025833765502906746,0.03921118209895664
parkinsons,0.20776873179388305,0.057015126301217293,0.19687269030883492,0.041496611795744,0.1894952052159055,0.17663075301120465,0.176261102643039,0.18003084647641038,0.19766075450560652
pendigits,0.015724874624190636,0.00043062426258967304,0.015943640868818172,0.006042130624316108,0.01684058939922029,0.016749884360468655,0.016640558773597647,0.016357674409502157,0.01678924915220085
ringnorm,0.018687303186109963,5.725907566205019e-05,0.006199325540385862,6.399928785435341e-05,0.008145114300615085,0.00849983724510613,0.008704300847460758,0.00883492052758887,0.008145114300615085
satimage,0.03200098662556851,0.001186851087533586,0.027121086648801657,0.004747423288455805,0.0246632783677453,0.026328628498525904,0.02719438470544037,0.025977996713856005,0.02513377100094714
scene,0.0691220814600858,0.014512454121805698,0.049903083121370935,0.01713640602019431,0.03976651898677302,0.036512839129085754,0.03433892802305308,0.033415804899869665,0.03976651898677302
segment,0.02804597323502287,0.0017844205516729316,0.0345959316447051,0.0055945795737862266,0.028658464780207216,0.029103040683008945,0.029721436935592826,0.028658464780207216,0.03172399136455158
semeion,0.0457435785592779,0.02798217490939578,0.0546628300277485,0.032912089686981026,0.07540720437108003,0.06106933193300925,0.07364116156837684,0.07578056267683507,0.04978353384702457
sonar,0.18216385782675126,0.05862066429672519,0.2208518567287346,0.059313761318988474,0.2796225037433567,0.2800744128119027,0.27222424720997906,0.2737554310613773,0.2913148607954051
spambase,0.024555237779796665,0.004878375431313974,0.032472013226514246,0.004567618607256584,0.03786463800947011,0.03625925175607805,0.03785591751159594,0.03841195899419386,0.03803105121938456
texture,0.03370538662858689,9.146287423275165e-05,0.03217672456920238,0.0012405764072370483,0.03546395641291418,0.033841803123308055,0.03433763048783495,0.03545800222262655,0.03221672500202014
thyroid-ann,0.009210635828384883,0.01049378506675079,0.034352877886958955,0.003392589308081305,0.02839965131443783,0.03483562412412555,0.03795939923019002,0.028641955631957976,0.02767605535393292
vehicle,0.07889388091430935,0.004184300891479835,0.05514618435063869,0.01332655134480761,0.051487575815078776,0.04185843012482543,0.04142071373889143,0.05472161924956194,0.0464427164124494
vowel,0.038428517246186726,0.00034209396191472205,0.046381243811797264,0.0034786981680313992,0.04818926119743079,0.04603955029117261,0.047790439911655,0.04818926119743079,0.06541774565602355
waveform-5000,0.03722701991664752,0.001669265559637805,0.037333964567894055,0.0031775297965840636,0.038263897282492985,0.03849484675918343,0.038545488906700315,0.038395823025838625,0.038263897282492985
wilt,0.0038283844701927218,0.0010662554080899823,0.0164207890718964,0.0011638298405108598,0.004660502264163499,0.004660502264163499,0.0047695230417783814,0.004957584060846072,0.005150883711483397
wine,0.10924351522836724,0.014702025766116907,0.06918120871228624,0.03028065498500385,0.07650805070159379,0.07991750137591724,0.07832619390292879,0.07597144654635384,0.07650805070159379
wine-quality-red,0.030139760157004494,0.000555826347639651,0.030699812734464173,0.002725929889409885,0.023261279989914712,0.02618978388618454,0.02618978388618454,0.02618978388618454,0.023261279989914712
wine-quality-white,0.012218967316281255,0.0003131796101027978,0.005963835222594082,0.0013918553657672646,0.004646120731759199,0.004646120731759199,0.004646120731759199,0.004646120731759199,0.004646120731759199
