dataset,BernoulliNB,ComplementNB,GaussianNB,MultinomialNB,PW-NB(k=15),PW-NB(k=30),PW-NB(k=45),PW-NB(k=5)
balance_scale,0.124593449274532,0.4838112119738782,0.2141724499096453,0.39873058143328316,0.1570148603028146,0.14943239431575103,0.14732495849351207,0.15222404898921874
banknote,0.06545452611042864,0.20556865698012539,0.07454142039333056,0.08860070384620872,0.07281355866686776,0.07360163173064409,0.07177624105284225,0.07480646985956538
breast_cancer,0.06538773523999206,0.2430232162024879,0.061864809357813744,0.18985575812880823,0.06534626539773589,0.06519555124457374,0.06540144223970343,0.0620135319392887
digits,0.08496280283979149,0.6288837974130962,0.1509427592322687,0.0651966946197727,0.13740970306412573,0.1382794486792826,0.13663420999006937,0.13942465483168884
ecoli,0.09831234307206967,0.5258659548250142,0.14513655242264867,0.09048440826823945,0.15449995455471693,0.15449995455471693,0.15449995455471693,0.15449995455471693
glass,0.2103074072283708,0.2907088279354249,0.4111507406030026,0.17232116615082294,0.4353425977172587,0.4353425977172587,0.4353425977172587,0.44499747705986104
ionosphere,0.22720847050732682,0.2040804056629438,0.10813862963560891,0.15267234955934433,0.10976516338320494,0.11538225661295201,0.1329186964879303,0.10186420299520646
iris,0.15805913751623968,0.2890847636880384,0.055677911901698726,0.3518456130817054,0.052781437431183985,0.05555466616822715,0.05570068990219061,0.05048477365926527
letter,0.07259983278943868,0.3673299365768147,0.12409702777736493,0.4682938557389399,0.15641135925625532,0.17240530850532343,0.18035181709385775,0.13999988984652437
optdigits,0.07379502318096678,0.626572310745171,0.19209435680894354,0.05448761876391567,0.15309768124898065,0.15562824902521954,0.15400843162914846,0.1524781804820698
page_blocks,0.04683235220769276,0.6910148133235792,0.0796330040911053,0.016661188648453305,0.06275013905592855,0.06116065001603259,0.06116065001603259,0.06651255776049687
parkinsons,0.2749640325837659,0.21059910198859216,0.28341045221081507,0.19621358233100525,0.2773362608766693,0.2735426022448503,0.27801705670283494,0.2835930153713975
pendigits,0.08707971675252754,0.573967217592487,0.11236037404158214,0.34893829607604804,0.11435577645880428,0.11688195261701965,0.11708759752971243,0.11335334503912624
robot_navigation,0.1734275387424527,0.2660943729504134,0.3491773295085866,0.07773708747807082,0.35539300616237884,0.35752428379198165,0.35986643945784696,0.3530489882109757
satellite,0.24832204312132267,0.33254434295566054,0.19435426817345997,0.19810420836649564,0.19449914587722575,0.19600069690991284,0.19750240285118853,0.1936356273647645
segment,0.13328822061571413,0.2766335137764849,0.18525870037101874,0.40543406792806536,0.1740139274977543,0.17356894455232477,0.17170862616645077,0.17422906197479537
sonar,0.2385889676343947,0.212227425319581,0.3068110362234249,0.18855416100762387,0.3140318376670687,0.3148275600764141,0.3109338798907738,0.32492679830545423
spambase,0.07534283135309536,0.16860051087928984,0.17847550291289066,0.19048479302006022,0.16551254326452575,0.16470401057421813,0.16399949927412055,0.1671302275456223
transfusion,0.08566353576641475,0.17403760120228712,0.14163557136624622,0.044322436479330735,0.18347719831605763,0.18002239205468396,0.1720471696498394,0.1919805461223037
vehicle,0.29984846244781105,0.1905594892383496,0.3715044998182927,0.23324900921669495,0.39250013606554407,0.3843415158658853,0.3648475504513438,0.3709423747183115
vowel,0.14373592123244458,0.019848326587072605,0.3076698567164978,0.07877188037551353,0.5769999935132923,0.577292652178899,0.597194000683616,0.5399508599913609
waveform,0.15774739150820571,0.3362010168760581,0.15787730532111538,0.37341421467293723,0.155384794537974,0.15656004461233702,0.15583009794060593,0.15519206815894143
wine,0.07537479694963903,0.44038447654688645,0.023591330876502246,0.40544649050026915,0.028378804914744267,0.030526752562970404,0.02970350393855007,0.030012207882566515
