dataset,BernoulliNB,ComplementNB,GaussianNB,MultinomialNB,PW-NB(auto),PW-NB(k=15),PW-NB(k=30),PW-NB(k=45),PW-NB(k=5)
JapaneseVowels,0.04009679185554767,0.49486117721101797,0.02841621146261794,0.19316641303479165,0.03473574010159408,0.03911896114898084,0.043861328788281514,0.04640457193821071,0.03473574010159408
LED-display-domain-7digit,0.14033893208543524,0.486962153505322,0.2668009899921154,0.3436171756031253,0.2880996167242509,0.2911996272715996,0.2789756919748882,0.2777190818491159,0.30824581784536365
MagicTelescope,0.06371272192951452,0.2300062916806803,0.21816418903616,0.17480032235102766,0.2276019420966498,0.22831316996343753,0.22774628181168688,0.2276019420966498,0.22943747672123
PhishingWebsites,0.04679606214483626,0.02563606985670233,0.27243206984978197,0.02838495486539753,0.21531458133474274,0.226519437379283,0.2178391895330587,0.21531458133474274,0.245164316035984
Speech,0.02328327683361916,0.31534523561460953,0.024541094726401848,0.00342936805841961,0.01751317709127959,0.01782697486688535,0.01843649833353795,0.01911792230583506,0.017195400984204988
UCI_churn,0.13973785462013003,0.07872569145040716,0.8550871230511949,0.13060364966105287,0.8217816619014224,0.8463802125478772,0.8487826149502796,0.854186222150294,0.8217816619014224
USPS,0.16285261826605973,0.15345175635209912,0.2151102713593453,0.12415017170677711,0.2041749577389938,0.2062805681223386,0.2065071037848794,0.203843168583309,0.20689856129686146
artificial-characters,0.07705087652579024,0.11209458981527032,0.44286275001102027,0.038147699141991884,0.44240488976774806,0.4362442302313436,0.4401627622408554,0.4433729350055768,0.43596471611483745
banknote-authentication,0.06545452611042864,0.20556865698012539,0.07454142039333056,0.08860070384620872,0.07164498274401518,0.07281355866686776,0.07360163173064409,0.07177624105284225,0.07480646985956538
blood-transfusion-service-center,0.08566353576641475,0.17403760120228712,0.14163557136624622,0.044322436479330735,0.18089562323453007,0.18347719831605763,0.18002239205468396,0.1720471696498394,0.1919805461223037
breast-w,0.030218250279237586,0.25846159803314406,0.03678110041997183,0.24048729537188668,0.039838876777280895,0.039992026796140154,0.03956796973209352,0.03876473699365736,0.04029496768734451
california,0.05460463810206415,0.22331835327532543,0.13829083307621395,0.2233668911893581,0.20203708217652774,0.27894407109162644,0.272248093928246,0.26782959253165306,0.2048126147199046
cardiotocography,0.00641075859580192,0.03780470441574642,0.00046915023023363,0.01834668442125036,0.00046926296946654,0.00046933799529713996,0.00046939592390509994,0.00046939427044280995,0.00046926296946654
clean1,0.25444878650300845,0.1977757132410612,0.18695239288682766,0.1817590250800766,0.20650194182264645,0.21129393672920305,0.22325324713166123,0.2310201929575646,0.20422371243875034
clean2,0.2552206278228056,0.11343432254631547,0.11005261449847234,0.09213402962324106,0.13096699331079345,0.12999098600298803,0.13139145852162554,0.12396224676474296,0.1336884833571835
climate-model-simulation-crashes,0.08864920052168104,0.20349399474191085,0.08026718849343992,0.050624246257771045,0.08443011072655857,0.08683047425831729,0.07880129269982004,0.07626719861860505,0.08361323952104381
corporate_credit_ratings,0.04780966971703176,0.28419761381609865,0.13327517614749096,0.39661279597826454,0.05739209476603936,0.07467490767088711,0.07247150970566522,0.062357351615854165,0.056241951722252284
default-of-credit-card-clients,0.11332678674470546,0.11257956344260892,0.4254763841030299,0.0514175402649197,0.5457571073088701,0.5533072595574469,0.549709020526296,0.5457571073088701,0.5645491221833595
diabetes,0.12309283624275065,0.1354647813559529,0.14144834469192585,0.07181536283298533,0.1902428452573401,0.19228127948153834,0.2002323367327262,0.20330613904742617,0.1907214153516133
ecoli,0.0983123430720696,0.5258659548250142,0.14513655242264864,0.0904844082682394,0.15449995455471685,0.15449995455471685,0.15449995455471685,0.15449995455471685,0.15449995455471685
eeg-eye-state,0.1347784013497641,0.0480858453493611,0.5150862566604764,0.00035960995462326997,0.546436239199396,0.5464059934347321,0.5467264189695509,0.5467201956467276,0.5453767925870909
gas-drift,0.45683698485662905,0.18840828053487407,0.43573150905360486,0.09397474553037026,0.4033197856819052,0.4168254560063909,0.40897206350240695,0.4033197856819052,0.42331278150079654
gina_agnostic,0.19375593300340177,0.19135517666873703,0.21510004355485068,0.1910364734392897,0.21784441368409563,0.21895970128483738,0.2195021574789239,0.22061062226437742,0.2190913758425385
glass,0.21030740722837074,0.2907088279354249,0.4111507406030026,0.17232116615082288,0.4449974770598609,0.4353425977172587,0.4353425977172587,0.4353425977172587,0.4449974770598609
har,0.16161569137092588,0.18999331081774135,0.2535621431995973,0.040378408442957,0.2871954971030285,0.30910379303383917,0.29801019529219086,0.2871954971030285,0.32366673995567685
heart-statlog,0.14500119350002286,0.22190500245942926,0.15132347107990562,0.21191141059061538,0.1522032305190764,0.15470981707747572,0.15039875392494934,0.14572534508497037,0.1499568716246254
ionosphere,0.22720847050732682,0.2040804056629438,0.10813862963560891,0.15267234955934433,0.10186420299520646,0.10976516338320494,0.11538225661295201,0.1329186964879303,0.10186420299520646
