dataset,BernoulliNB,ComplementNB,GaussianNB,MultinomialNB,PW-NB(auto),PW-NB(k=15),PW-NB(k=30),PW-NB(k=45),PW-NB(k=5)
JapaneseVowels,0.011609646796181386,0.010914398914668975,0.005758688745460305,0.007373530324709755,0.0077127926399792514,0.009522171588295365,0.008118507876317191,0.007556923516397326,0.0077127926399792514
LED-display-domain-7digit,0.035350901166868294,0.04937526678473645,0.10380692819830167,0.05900185293610675,0.07561829158373036,0.0750952273672738,0.0718860235396855,0.07043422385358583,0.07581635525855242
MagicTelescope,0.009811561697337936,0.00826855382175381,0.0046685061923559005,0.007590609869941603,0.0050161112357616465,0.005178787365750217,0.00572174707408794,0.0050161112357616465,0.004881477155160822
PhishingWebsites,0.005020236597709045,0.00317540644881218,0.008268248653744073,0.005143222725916868,0.01385065995345265,0.012438576334165504,0.013361297373908598,0.01385065995345265,0.01141651218142338
Speech,0.006245102955667543,0.011689487032666939,0.005047125650090797,0.0010319212442038937,0.003028981647099431,0.0028060556797502305,0.0035233005498845034,0.003426093092659282,0.0024724459571758436
UCI_churn,0.001670526847042817,0.006954065303978534,0.0012377774099440679,0.001157890381271125,0.01267246172782131,0.010354364993480268,0.007563010278783669,0.002847685487386672,0.01267246172782131
USPS,0.00950733645588173,0.009590103508662429,0.012387775995713075,0.006095518037571598,0.009513224422683677,0.010950180563868659,0.010141139110385694,0.00923125751904318,0.011464274466796086
artificial-characters,0.01749020964685412,0.011495694563868218,0.016347801514861298,0.008626284542423581,0.01966431246267625,0.01757050942629531,0.017366605833316683,0.019881206096233298,0.01846934384071027
banknote-authentication,0.021437979366560424,0.03889956323888628,0.0265082953498385,0.019490405104538443,0.027752409852677424,0.023955615623576468,0.027529628463395267,0.027642406500595598,0.02298234257531786
blood-transfusion-service-center,0.03932298128053055,0.04894144806000394,0.04855772323107164,0.020860133308981763,0.048710241391494886,0.05319647950526936,0.04999951317375557,0.0498141781416766,0.05158638172316139
breast-w,0.013669344569031542,0.02355126253594206,0.021174513710438003,0.01416901071860081,0.016223154551778765,0.01616227582302733,0.015936020589283662,0.016563259871772745,0.0160741179366913
california,0.011278466049738273,0.01123759745063245,0.07687609326881804,0.011420125167869428,0.09567322162910523,0.0651632704448033,0.0636762032109461,0.060524460192527205,0.09887442190829535
cardiotocography,0.00289937687091901,0.0004547746046400613,0.00148358329233066,0.0006471958704075864,0.0014839398050883155,0.0014841770575963577,0.0014843602439391943,0.0014843550152323325,0.0014839398050883155
clean1,0.10910708665879928,0.0829959362976379,0.07217720737775879,0.07801195310124813,0.07080198993854966,0.0754941749539666,0.08154582545207921,0.08345565133637273,0.06788474360231106
clean2,0.013650876282475154,0.016437081247618415,0.012187814047493598,0.010515135476906237,0.01657830234353475,0.01338043795614526,0.014649416647690233,0.016274742925140837,0.014317793025251584
climate-model-simulation-crashes,0.0121887874911058,0.05009922981427939,0.023946155325248318,0.016821050212406735,0.014736978594159325,0.01365325205033392,0.017067640161180744,0.022093331075605554,0.015049926155928975
corporate_credit_ratings,0.00976725851882282,0.01860490520351313,0.013803502936955335,0.018375083779713815,0.013977740039552078,0.017873640574970023,0.01632303788317297,0.01598137096224351,0.014927507543974006
default-of-credit-card-clients,0.01251347225258937,0.0103593907625895,0.03373309467165517,0.004445246952947665,0.013129820694907732,0.012480635026136992,0.012563179840973885,0.013129820694907732,0.014426111105481077
diabetes,0.04184284102290815,0.06046264320720766,0.04272915606709653,0.03693435413183538,0.044426362528518094,0.05511527702965493,0.0553020894384965,0.04707189192619661,0.050021298312008015
ecoli,0.021855181911609574,0.014472736429942389,0.09678549341728014,0.06769653650785677,0.0041373873728817075,0.0041373873728817075,0.0041373873728817075,0.0041373873728817075,0.0041373873728817075
eeg-eye-state,0.020024004942116806,0.013895380086065131,0.10283997471153387,0.00018090700335638403,0.006663725719919034,0.006155660075620192,0.00654507890010765,0.006658601027168299,0.005993429114071572
gas-drift,0.010043036526475126,0.009122492607247096,0.011120876500860709,0.01178540664240996,0.00942786577056172,0.011440020897238827,0.011890903882084334,0.00942786577056172,0.012118046239236374
gina_agnostic,0.0225425508241806,0.02331057694869884,0.02258688637574127,0.02330599574505323,0.023966882812145592,0.02361891472502281,0.02318003158421477,0.024276491320621797,0.024074210262481847
glass,0.05528493867494321,0.08482182472150239,0.18684360909640427,0.08068363431378744,0.12472779402240007,0.1221944016884775,0.1221944016884775,0.1221944016884775,0.12472779402240007
har,0.010690879960708426,0.011499431011493954,0.03661561179198262,0.011994606405223882,0.022133718567383397,0.025724941114212516,0.025461198257962777,0.022133718567383397,0.025165525374290555
heart-statlog,0.06508760254454482,0.04126930564761142,0.06367015265146952,0.04528747673422515,0.06024434236008119,0.0609018357707971,0.06633659745950864,0.06967997565877719,0.06278895933988392
ionosphere,0.09094983053673832,0.04977092898687604,0.03676359629916151,0.04640127794532467,0.031656814994751946,0.03178926637794778,0.0299352222036522,0.040962236906216726,0.031656814994751946
iris,0.05995934905791452,0.003449338790782713,0.04852721151687619,0.07891927438365505,0.04957388870499116,0.04920923538500923,0.050826936444834464,0.0505727335782942,0.04973241203798805
