dataset,BernoulliNB,ComplementNB,GaussianNB,MultinomialNB,PW-NB(k=15),PW-NB(k=30),PW-NB(k=45),PW-NB(k=5)
balance_scale,0.0,0.055734202739362845,0.0,0.0,0.0,0.0,0.0,0.0
banknote,0.8469200745511596,0.7207767976754366,0.8311499585146576,0.4227564662300341,0.8334515066406241,0.8317794763999796,0.834313992852462,0.8330005544017445
breast_cancer,0.9274255267967766,0.8542916592734618,0.9238404386208309,0.7504220332083267,0.9234515494203348,0.9210225921350063,0.9210225921350063,0.9253022452382582
digits,0.8795081506255474,0.780184146003564,0.8286453161340349,0.8947225429932291,0.8478159005823453,0.8481869824215418,0.8510662452277076,0.8472245862957404
ecoli,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
glass,0.0,0.0,0.07343345289815163,0.0,0.27290970037440704,0.27290970037440704,0.27290970037440704,0.26127818963132227
ionosphere,0.7541956831753676,0.7286960791370298,0.848423466652989,0.1398075527045271,0.8508359086667046,0.84900700336399,0.831366089775736,0.85285240354771
iris,0.6358036296372046,0.0,0.949015984148217,0.7579824134376542,0.949015984148217,0.949015984148217,0.949015984148217,0.949015984148217
letter,0.33225184265867025,0.0,0.6125600282098128,0.0,0.6280209456630866,0.6309295433106138,0.6327412311061998,0.62347152370304
optdigits,0.8929323254254078,0.7916962094974631,0.7649330579706484,0.9048935637996095,0.8233578604775689,0.8212095820357715,0.8243743173958398,0.8225988608251734
page_blocks,0.5146321251374795,0.6116139564227614,0.535835387986182,0.0,0.5574367171355408,0.5532537467214917,0.5532537467214917,0.6296430057134547
parkinsons,0.7539927666063162,0.7315971722684573,0.7656981413775137,0.5865791375337852,0.7471713191655827,0.7559893645749898,0.7518879883932075,0.7639257659622152
pendigits,0.791152765294459,0.0,0.8403829555145776,0.7764526286535784,0.8400189636495282,0.8382289050906065,0.8365949810067355,0.840283321287421
robot_navigation,0.5788175623430365,0.4259838624785347,0.6223219531758741,0.0,0.6254422519923322,0.6269029461326333,0.6285584425451233,0.6223312359276542
satellite,0.6874860189410043,0.0,0.7795586691074003,0.0,0.78381052248072,0.7807781003038915,0.7794924031170536,0.7861113798226871
segment,0.6828961502137152,0.0,0.6977991243431623,0.7466248690892354,0.7378560551210386,0.7404121529763179,0.7421851868075438,0.7384288062046614
sonar,0.7453806730742703,0.7423216360464415,0.6721774553737545,0.7445028903096931,0.6810409594894827,0.6667741740107795,0.6755437432984333,0.6712578629183955
spambase,0.8893359151468287,0.8517776007080151,0.8364724542516491,0.8646689191502841,0.8493545262022207,0.849647346642801,0.850205869627229,0.8482042283146244
transfusion,0.608799503355314,0.6617529759077064,0.39554392474654476,0.0,0.4035542544629678,0.40471957776851275,0.4050242526102557,0.41613337272682527
vehicle,0.37644224907716134,0.37851307577077475,0.3692222449442651,0.5184673145562952,0.3850339412768769,0.3830258035861502,0.40361301928963983,0.4028993205010846
vowel,0.07027192765144216,0.0,0.1885877793545149,0.0,0.0,0.0,0.0,0.03956826350152516
waveform,0.756294591557072,0.6450393637290632,0.7714625149550882,0.79682291427763,0.785739857164879,0.7848758209016843,0.783098946335347,0.7851276225694693
wine,0.9307881825624532,0.8715707960096081,0.9784853815570592,0.936361593301043,0.9737721321786132,0.9737721321786132,0.9737721321786132,0.9737721321786132
