dataset,BernoulliNB,ComplementNB,GaussianNB,MultinomialNB,PW-NB(auto),PW-NB(k=15),PW-NB(k=30),PW-NB(k=45),PW-NB(k=5)
JapaneseVowels,0.6493247274399432,0.1481920397557576,0.8433226456140034,0.0,0.8386647052916245,0.8358893855595039,0.8346889774075578,0.833149966632751,0.8386647052916245
LED-display-domain-7digit,0.7002148614548083,0.0,0.4738322845168959,0.5635622267671292,0.6759740285842184,0.6227925890321606,0.618743039895055,0.615471026805596,0.6431116950813349
MagicTelescope,0.6699127572318319,0.7546267408047205,0.587460718851456,0.23042166055490493,0.5855625696766572,0.584744138812836,0.5857269264283057,0.5855625696766572,0.5844044076204944
PhishingWebsites,0.9273858987399182,0.9277398739431344,0.6924248540429787,0.9263027358621597,0.7634065011639859,0.7473902864948581,0.760928250851499,0.7634065011639859,0.7254216124422943
Speech,0.48192523290377903,0.7069458130799989,0.5158412883501627,0.0,0.33274305073476035,0.38633691245463025,0.34252633653159215,0.3396151510307632,0.3328517187567683
UCI_churn,0.0,0.01428571428571428,0.0,0.0,0.20896209126660276,0.08655857075162593,0.06927216222452423,0.012966443420258312,0.20896209126660276
USPS,0.8113601607631971,0.5190823597739971,0.7360507783436804,0.8219654806915985,0.7556549492642614,0.7502042178830141,0.7517426083691483,0.7560823271930281,0.7491037577072298
artificial-characters,0.0,0.0,0.18549471363504938,0.0,0.19772813659553462,0.19560795682629106,0.19887711459121252,0.19632296973125268,0.19243021830934803
banknote-authentication,0.8469200745511596,0.7207767976754366,0.8311499585146576,0.4227564662300341,0.834313992852462,0.8334515066406241,0.8317794763999796,0.834313992852462,0.8330005544017445
blood-transfusion-service-center,0.608799503355314,0.6617529759077064,0.39554392474654476,0.0,0.4105970348192117,0.4035542544629678,0.40471957776851275,0.4050242526102557,0.41613337272682527
breast-w,0.9705830546249773,0.8974293782122433,0.966958533645675,0.8822084959621735,0.9672582158536874,0.9672582158536874,0.9672582158536874,0.9684144790842641,0.9672582158536874
california,0.7368626190465208,0.7394149299737788,0.5102357669519801,0.7394615528582282,0.47300901529958805,0.3739463078901501,0.3843232461884726,0.39196787622202733,0.46902492742582036
cardiotocography,0.9935597940159692,1.0,0.9990514258214521,1.0,0.9990514258214521,0.9990514258214521,0.9990514258214521,0.9990514258214521,0.9990514258214521
clean1,0.727367922119619,0.677586394740019,0.8141611490791132,0.6902347212499331,0.7935365272883549,0.7853931358176008,0.7716509524767877,0.7635382668359588,0.7938402212862987
clean2,0.6563182063880669,0.7575628239069999,0.8379561421803945,0.6826531670375302,0.799984762923742,0.8096690870032439,0.7978603912246081,0.7958424372697455,0.8188164030328193
climate-model-simulation-crashes,0.3638509571673837,0.816224563406827,0.6077699184435137,0.0,0.32515791685091955,0.3068189164915427,0.3259985927492798,0.3373185627762162,0.3822254469769853
corporate_credit_ratings,0.3741973644797972,0.0,0.0,0.4898207025647564,0.0,0.0,0.0,0.0,0.0
default-of-credit-card-clients,0.5562606812922779,0.6459190280066271,0.45603072790985744,0.0,0.47765517876615604,0.47340422166911245,0.4761386079217509,0.47765517876615604,0.46790467993100293
diabetes,0.6709854841784614,0.6173411854902421,0.7093104727643815,0.0,0.6958325685816451,0.6931390491769153,0.6864592983631979,0.6864592983631979,0.6969959582557892
ecoli,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eeg-eye-state,0.5467024842472257,0.5442596691378976,0.19048725498208324,0.00385471672245849,0.16582490566033437,0.16772840750402448,0.1626237373253453,0.1618881247222485,0.1753238138703817
gas-drift,0.4385492541301887,0.0,0.5340455902919818,0.5567795009533036,0.5685961395126091,0.5523338095126907,0.5608746504527053,0.5685961395126091,0.545147190665912
gina_agnostic,0.7948344258238649,0.7920448518693486,0.7788859170070255,0.7920082689940868,0.7757150505386047,0.7741234552809344,0.7738695193368141,0.7727883403346871,0.774951667480021
glass,0.0,0.0,0.07343345289815163,0.0,0.26127818963132227,0.27290970037440704,0.27290970037440704,0.27290970037440704,0.26127818963132227
har,0.8144794720517318,0.2273794833793344,0.7149214151508259,0.8207852665599435,0.6642057667147074,0.6465471945147412,0.6546163508550895,0.6642057667147074,0.6324714655811471
heart-statlog,0.8256373811917053,0.8183871256897349,0.8254399252405328,0.8137562783910937,0.8344662591122253,0.8311016259896208,0.8331780494231846,0.8331780494231846,0.8311016259896208
ionosphere,0.7541956831753676,0.7286960791370298,0.848423466652989,0.1398075527045271,0.85285240354771,0.8508359086667046,0.84900700336399,0.831366089775736,0.85285240354771
iris,0.6358036296372046,0.0,0.949015984148217,0.7579824134376542,0.949015984148217,0.949015984148217,0.949015984148217,0.949015984148217,0.949015984148217
isolet,0.8592979953787037,0.05125922286643607,0.8231868335279788,0.8734178250365947,0.8553142832521752,0.8549317688335625,0.857005468991807,0.8568020456534502,0.8518727732683378
kc1,0.6980909099019011,0.6905424024361356,0.5733499237015559,0.1938523675397932,0.5752694073546661,0.5752694073546661,0.5781096655288427,0.5781096655288427,0.578478882275014
letter,0.3322518426586702,0.0,0.6125600282098128,0.0,0.6319102661318711,0.6280209456630866,0.6309295433106138,0.6327412311061998,0.62347152370304
madelon,0.5845850037762332,0.5941143220482695,0.585841818494372,0.5941143220482695,0.5989987759090092,0.599596284291277,0.6018248372958729,0.5987422960167754,0.6000565883313803
mc1,0.8177901701262762,0.8294189828542937,0.4973718835871548,0.5078279202863711,0.5262383774882681,0.5465199557494215,0.526044910528064,0.5260863150429383,0.49641609360818356
mfeat-factors,0.8770153407107342,0.6718198044768493,0.9206681989063059,0.8699842267279809,0.9207210566828932,0.9177036996098773,0.9176463318335142,0.9137670625350909,0.9207210566828932
mfeat-karhunen,0.8572950123442356,0.8609076792182769,0.9289542211701614,0.9076138899419322,0.9287734393386051,0.9268648245703283,0.9257892983169145,0.9242484830844278,0.930267759733743
mozilla4,0.714806383647477,0.7591005477754008,0.7165191732940224,0.0,0.7445631249519552,0.7391918433241502,0.7428031933076088,0.7445631249519552,0.7371542467422428
optdigits,0.8929323254254078,0.7916962094974631,0.7649330579706484,0.9048935637996095,0.8243743173958398,0.8233578604775689,0.8212095820357715,0.8243743173958398,0.8225988608251734
ozone-level-8hr,0.753217246034491,0.7634691778850935,0.745768420348418,0.0,0.7413785185731788,0.7484333758017738,0.7540843627954826,0.7532482777887635,0.7415734521049331
page-blocks,0.5146321251374795,0.6116139564227614,0.535835387986182,0.0,0.5574367171355408,0.5574367171355408,0.5532537467214917,0.5532537467214917,0.6296430057134547
parkinsons,0.7539927666063162,0.7315971722684573,0.7656981413775137,0.5865791375337852,0.7471713191655827,0.7471713191655827,0.7559893645749898,0.7518879883932075,0.7639257659622152
pendigits,0.791152765294459,0.0,0.8403829555145776,0.7764526286535784,0.8401107302097979,0.8400189636495282,0.8382289050906065,0.8365949810067355,0.840283321287421
ringnorm,0.7036217278074149,0.5145050321007444,0.9793322526596707,0.0,0.9728326512875196,0.9704222741815686,0.9694091832136611,0.9684238469923221,0.9728326512875196
satimage,0.6874860189410043,0.0,0.7795586691074003,0.0,0.7851289289528876,0.78381052248072,0.7807781003038915,0.7794924031170536,0.7861113798226871
scene,0.791089921082905,0.8991781192857381,0.8798471681324888,0.8674780028728449,0.8888202539431495,0.887448591646214,0.8835976456611391,0.8878929453979261,0.8888202539431495
segment,0.6828961502137152,0.0,0.6977991243431623,0.7466248690892354,0.7421851868075438,0.7378560551210386,0.7404121529763179,0.7421851868075438,0.7384288062046614
semeion,0.8462453889715356,0.7218897192245479,0.7719128283657644,0.8378758792205835,0.7926346052073154,0.7871597166583367,0.7936407049433403,0.7929652211804339,0.7787082565042749
sonar,0.7453806730742703,0.7423216360464415,0.6721774553737545,0.7445028903096931,0.6719310942341082,0.6810409594894827,0.6667741740107795,0.6755437432984333,0.6712578629183955
spambase,0.8893359151468287,0.8517776007080151,0.8364724542516491,0.8646689191502841,0.8502561278320625,0.8493545262022207,0.849647346642801,0.850205869627229,0.8482042283146244
texture,0.45592484934279415,0.15759643729231046,0.7480020561879559,0.8475863893742902,0.7626412043259817,0.7554492395022223,0.7606233545725709,0.7639970376696906,0.7537211805462413
thyroid-ann,0.6179127416594059,0.5296625726905979,0.1799439178799522,0.0,0.32916579017849285,0.3369374911159778,0.3416314694428875,0.3171989019262164,0.3219555412445759
vehicle,0.37644224907716134,0.37851307577077475,0.3692222449442651,0.5184673145562952,0.40394669681849554,0.3850339412768769,0.3830258035861502,0.40361301928963983,0.4028993205010846
vowel,0.07027192765144216,0.0,0.18858777935451487,0.0,0.0,0.0,0.0,0.0,0.03956826350152515
waveform-5000,0.756294591557072,0.6450393637290632,0.7714625149550882,0.79682291427763,0.7851276225694693,0.785739857164879,0.7848758209016843,0.783098946335347,0.7851276225694693
wilt,0.0,0.6641207579815953,0.7134748276087333,0.0,0.5961133656130928,0.5961133656130928,0.5535220594868117,0.5169687526118393,0.6233361562984712
wine,0.9307881825624532,0.8715707960096081,0.9784853815570592,0.936361593301043,0.9737721321786132,0.9737721321786132,0.9737721321786132,0.9737721321786132,0.9737721321786132
wine-quality-red,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wine-quality-white,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
