dataset,BernoulliNB,ComplementNB,GaussianNB,MultinomialNB,PW-NB(auto),PW-NB(k=15),PW-NB(k=30),PW-NB(k=45),PW-NB(k=5)
JapaneseVowels,0.018176373446789008,0.19135414636637907,0.013094715877924653,0.0,0.015198885676266009,0.013799616705504369,0.014087989740164246,0.013648184912221504,0.015198885676266009
LED-display-domain-7digit,0.06450295741071695,0.0,0.3335013883034119,0.30765859979588467,0.09462319668770208,0.23257459723102136,0.23229376659624737,0.23177449067810202,0.09139197857417482
MagicTelescope,0.015162745662215416,0.009410258255347847,0.011110370273611881,0.021491302420279114,0.012696862417283046,0.012662419589098011,0.01226092998446417,0.012696862417283046,0.012508112828965648
PhishingWebsites,0.00751382933954195,0.008486969538940563,0.01002642375458994,0.00811748136205981,0.01620746134004799,0.013283436662126042,0.015893925872095913,0.01620746134004799,0.013853485855338073
Speech,0.11318969277665175,0.11359849478791924,0.2115636555887946,0.0,0.24230140498805086,0.2295170843284601,0.18811379830324518,0.18723623603425935,0.2423316110002784
UCI_churn,0.0,0.045175395145262545,0.0,0.0,0.037122361053412066,0.08066914944974048,0.07484608122398761,0.04100349435972013,0.037122361053412066
USPS,0.010215685416577717,0.0224911222033146,0.01661337151070936,0.007399459966396476,0.011944245051787672,0.01298192888339381,0.011989617736393616,0.011447692396828274,0.014195928187149234
artificial-characters,0.0,0.0,0.018857820167200116,0.0,0.020084402201807152,0.0172865780463863,0.015761074926025357,0.021395718737186816,0.018174624836510955
banknote-authentication,0.01162321368977242,0.041416642793906826,0.04385808277293739,0.060038722462610855,0.04185743377219164,0.04118944047630703,0.04121297510526553,0.04185743377219164,0.041142599180074776
blood-transfusion-service-center,0.09143955351543663,0.06372742563933312,0.13122398708303354,0.0,0.1376546531490186,0.13352263988700214,0.1336588707684555,0.13344348600768546,0.13488884215089367
breast-w,0.01592583876466675,0.01736548650615106,0.020447635557605915,0.034015627030368735,0.014210554909147601,0.014210554909147601,0.014210554909147601,0.015503619393998426,0.014210554909147601
california,0.011342967628217274,0.011257208712534739,0.1279271252599879,0.011438420054615504,0.15317454021415658,0.09681559286753351,0.0953031515862856,0.09041181855467784,0.1574722413237071
cardiotocography,0.0068449471374526045,0.0,0.002999654933834356,0.0,0.002999654933834356,0.002999654933834356,0.002999654933834356,0.002999654933834356,0.002999654933834356
clean1,0.10631953119553132,0.10043844180118278,0.07769527337824424,0.09060455425515337,0.06478681567654926,0.07790736081498957,0.08200196952523654,0.08575982626194692,0.059316833695765944
