dataset,BernoulliNB,ComplementNB,GaussianNB,MultinomialNB,PW-NB(auto),PW-NB(k=15),PW-NB(k=30),PW-NB(k=45),PW-NB(k=5)
JapaneseVowels,0.8624511499460835,2.1632631732458005,0.44308451947989147,1.942223154278772,0.4704512145231415,0.49385476889757396,0.5109034570641747,0.5200884605071776,0.4704512145231415
LED-display-domain-7digit,0.7991703311788543,2.1839788704178056,2.756255639846244,1.1539907337789777,6.407169217537077,6.532547331836874,6.447105068541137,6.287470178037021,6.821975456140547
MagicTelescope,0.5242274341724605,0.6364935537399166,1.0565599116663171,0.5943897796898937,1.3364320796479903,1.3288617274223715,1.3341190227166044,1.3364320796479903,1.317071472631179
PhishingWebsites,0.24902957959503288,0.17991043460137496,3.001958223274113,0.1807445776963817,2.5027959125553654,2.564803068304107,2.5107872911487474,2.5027959125553654,2.7294475624436894
Speech,0.11640911163975606,0.577343563316264,0.19271799894159564,0.08010463262714798,0.2856423689349342,0.26758419081936524,0.2550865837723587,0.25173864465124923,0.3000489092667157
UCI_churn,0.8197949636482396,0.4347071872454397,29.533662941232695,0.6256977170571085,28.38333306585132,29.23293690626811,29.31591294565528,29.502546926462504,28.38333306585132
USPS,3.244204369793408,1.2305022966271282,6.425681793182403,1.2202456152042038,6.322598627726983,6.375145518477444,6.375514203224902,6.31620055545317,6.375674803729393
artificial-characters,1.9813901446868243,2.2914052245425736,4.185667531275415,2.156502905067476,4.0461273259264114,3.995304177624994,4.0103729276455,4.0513287164328,4.082897314963772
banknote-authentication,0.40274887665760206,0.6563647304713709,0.3172684943600817,0.6511536006990225,0.32039422743156076,0.31671554218191417,0.31915278560298094,0.3207433863220236,0.3171881715534452
blood-transfusion-service-center,0.5170279388301705,0.6673488027058938,0.7346110771540363,0.5300062343975738,1.0477728962124673,1.0655861641530555,1.0260826570379973,0.9973960804954887,1.1486950892637577
