dataset,BernoulliNB,ComplementNB,GaussianNB,MultinomialNB,PW-NB(auto),PW-NB(k=15),PW-NB(k=30),PW-NB(k=45),PW-NB(k=5)
JapaneseVowels,0.017285047664752792,0.0006983225049308016,0.02224997478566971,0.0025209892309253135,0.025612474680668903,0.027264680424813763,0.028428077652085902,0.029122007134958,0.025612474680668903
LED-display-domain-7digit,0.20489224834375472,0.005236922644421186,2.161498821078753,0.09290747454371076,2.575044343084002,2.7326316805077844,2.8537712724728066,2.843256100388436,2.5360357714563317
MagicTelescope,0.009727359538257069,0.001502612073470687,0.0557009938583705,0.002076005519471172,0.06605079983696319,0.06580719847713005,0.06598729204826395,0.06605079983696319,0.06503431246299184
PhishingWebsites,0.018482762768613457,0.010483144151530874,0.198259459792006,0.011441250693469449,0.20595150561211195,0.2028364923694988,0.20097934003018786,0.20595150561211195,0.2033238675740176
Speech,0.02595927081624177,0.004974586590146464,0.04786999704941809,0.0040895240194493265,0.057163511093776556,0.059627514011059174,0.0529704540699063,0.047909581965253856,0.06625990388292706
UCI_churn,0.028410335449164003,0.015198417129737466,0.04275131718872997,0.01646242630068886,0.437691321990283,0.35762709722110464,0.2612171208913185,0.09835557229188126,0.437691321990283
USPS,0.2343236118242271,0.04180356892782006,0.36303533701165386,0.09856460965884004,0.37308826807902795,0.38086860638673115,0.36141184017730155,0.3664390383151315,0.3665465788805529
artificial-characters,0.043993554019030504,0.00044135444628538184,0.1213165186312478,0.004219684043977918,0.1367164317123642,0.1246464403525283,0.13018712169851307,0.13500352334614305,0.11730693234990719
banknote-authentication,0.028527673550631547,0.003582054571175399,0.046150221828362065,0.0035279168589114566,0.048506502202475404,0.04574533325111432,0.04615665752539102,0.04817829487018684,0.046012061070253116
blood-transfusion-service-center,0.05966935326354568,0.009329835775726547,0.29626975895915975,0.008619893130042371,0.4088712924873787,0.41200291911755793,0.3975051484212738,0.391787599073016,0.46626493380472206
breast-w,0.14417309403236306,0.008850835122011355,0.5103800136947835,0.01229964706133102,0.5082878573385138,0.5067010524737482,0.5088434858762462,0.5063293303968301,0.48781553834185487
california,0.01492471780881371,0.00044656869836992216,0.09018953807578323,0.0004465999882957922,0.15061254745194816,0.1388117853180402,0.13720459901105098,0.12884195272849872,0.1575036991093631
cardiotocography,0.011684351033649844,0.00048783194006744884,0.051277559156421106,0.0006831418002291804,0.051277559156421106,0.051277559156421106,0.051277559156421106,0.051277559156421106,0.051277559156421106
clean1,1.2536232426465133,0.2060621526947145,1.220347929707251,0.1950657160731572,1.4555182450540918,1.6650178230793402,1.8586650336612807,1.9572437230930793,1.4241976508134437
clean2,0.4487431106107005,0.04946282428019454,0.29971281928349003,0.0410227617673724,0.3385807793878535,0.3122616796662186,0.3317595430808755,0.3379464437810157,0.3681661087767011
