dataset,BernoulliNB,ComplementNB,GaussianNB,MultinomialNB,PW-NB(k=15),PW-NB(k=30),PW-NB(k=45),PW-NB(k=5)
balance_scale,0.5270058403382197,0.6191738573635623,0.6275772693813064,0.6087724536543215,0.6286696397918103,0.6286705659750094,0.6286705659750094,0.6276290611853772
banknote,0.8439578183934302,0.7283252269962134,0.8346264093962057,0.5293800172406284,0.8363724510503403,0.8342966179328,0.8371480440397757,0.8362506983715189
breast_cancer,0.9267700373579888,0.84471584590645,0.930775449922384,0.8022304164309892,0.9292010985210972,0.9272266549605088,0.9272266549605088,0.9325572061031171
digits,0.885497292485969,0.8064191943792641,0.843123587365805,0.9004864528332142,0.859037352013921,0.8591505184331372,0.8613824398233347,0.8586315238181811
ecoli,0.43366130269896525,0.35401385054639983,0.46306102835378726,0.07542286121249889,0.5344284633480438,0.5344284633480438,0.5344284633480438,0.5344284633480438
glass,0.5635066429958071,0.31793112058812545,0.4417018347560816,0.2649543829237316,0.5236530697831008,0.5236530697831008,0.5236530697831008,0.5263475812495421
ionosphere,0.7480257020840987,0.7327136586924896,0.8724295031723338,0.43028542842517437,0.8734041302990259,0.8705234333562171,0.8425200395831987,0.8763720612271788
iris,0.7233901283901284,0.554112554112554,0.9525757575757575,0.7856343656343656,0.9525757575757575,0.9525757575757575,0.9525757575757575,0.9525757575757575
letter,0.3977239616566891,0.3425931873903057,0.6388847515691232,0.5019646638771038,0.6534809900298374,0.6559383990825818,0.6576786301901688,0.6495908258610305
optdigits,0.895830958482376,0.811882953992362,0.7897075173848677,0.9079992984108234,0.8357659388340564,0.8338876370935608,0.8363337985485544,0.8352315635890516
page_blocks,0.4904772055982519,0.5895914332916605,0.5682092116668669,0.20006572922170368,0.6444701887742669,0.6423161900901283,0.6423161900901283,0.6453866135266583
parkinsons,0.6916414603384353,0.6771091993163604,0.6926807753438189,0.7231209287233955,0.6848219003635045,0.6940424673781892,0.6894203141690795,0.6949130454891324
pendigits,0.8045462811948086,0.6535565100035929,0.8518321213819295,0.7931277835887794,0.8513610881886884,0.8499521246455861,0.8487866928168971,0.8516314342533043
robot_navigation,0.5777097782818685,0.5051941750570248,0.5432422353871338,0.4424430258192471,0.5597416940230653,0.5615504716812942,0.5628171850497097,0.553244834640742
satellite,0.6863101102480454,0.3698318252911823,0.7776377546344004,0.41852580120603394,0.7819943879017485,0.7799366085421411,0.779786743623905,0.7829213120618581
segment,0.7088023109005411,0.40027971426363196,0.7768169949901289,0.766466797196929,0.7965340227153894,0.7984001514443754,0.7997795004331427,0.7970575237332451
sonar,0.7504866940988896,0.7438658757337248,0.6773149881731118,0.7507494277121751,0.6837293255943141,0.6693547527986887,0.6787593929928025,0.6741677401919359
spambase,0.8964799138399077,0.8356073394703769,0.8194571535788638,0.8804928179857235,0.8330629979278189,0.8334623802483915,0.8340906260960279,0.8318004864304844
transfusion,0.644561940934198,0.6355118615756332,0.5495690466772696,0.43247744621790424,0.5580315645649706,0.5609189870355559,0.5617158124323813,0.5650856164925867
vehicle,0.4199011666025859,0.42460388940170085,0.4159964992797251,0.5296030915545088,0.4269391095173158,0.4278673227739169,0.4383849874209048,0.44353150736427216
vowel,0.3162698692825897,0.06130212622903185,0.35292547477757774,0.051332833754730745,0.16377042413531478,0.16245117169446885,0.14437981109242384,0.20301309497930237
waveform,0.7695878968952116,0.68968503058926,0.7860839342287227,0.8079194580291107,0.7981116338963765,0.7973786503843224,0.7959073890989293,0.7975926414758605
wine,0.9281348281348281,0.8684426684426685,0.9783305583305584,0.9449475524475524,0.9732656232656233,0.9732656232656233,0.9732656232656233,0.9732656232656233
