dataset,BernoulliNB,ComplementNB,GaussianNB,MultinomialNB,PW-NB(auto),PW-NB(k=15),PW-NB(k=30),PW-NB(k=45),PW-NB(k=5)
JapaneseVowels,0.6889969923537704,0.5516714344189071,0.8501532959443386,0.2172373584823223,0.8466987138994639,0.8447694659824745,0.8439068899870854,0.8426792912086813,0.8466987138994639
LED-display-domain-7digit,0.7223018925518925,0.5040979524431537,0.6398206731349145,0.7186069763569763,0.7037786979102768,0.6997665433981224,0.7045107436423226,0.70006216006216,0.6732324897324897
MagicTelescope,0.7080078160657884,0.7578201968234917,0.6526562911990743,0.44850804368009534,0.6576459900262207,0.6562778320740169,0.6575549052930789,0.6576459900262207,0.6551741017002541
PhishingWebsites,0.9282077921795521,0.9287328383789992,0.7005358072174884,0.9281418936512326,0.7637623704284604,0.7493114859056154,0.7615248825414737,0.7637623704284604,0.7297126453397225
Speech,0.6048408955062662,0.5406465391180176,0.6235615754610642,0.4958281878860621,0.6046104480653545,0.6216848916195803,0.5939377647402138,0.5953761795070494,0.6079928860280281
UCI_churn,0.4609415436736358,0.4629287138623911,0.12657017742233917,0.4609415436736358,0.17016259784214477,0.13884055009854404,0.13558154453131813,0.12798354623325375,0.17016259784214477
USPS,0.8155473246923413,0.5980537258766196,0.7572869368592181,0.8282202175986952,0.7735385723621568,0.7698217092215489,0.7704089588553867,0.7739047730807813,0.7692608148732957
artificial-characters,0.2101023636861822,0.1457046510998618,0.24650309664873066,0.07846669180893633,0.26173259211951055,0.25518166021881433,0.2583185534754887,0.2615308286268768,0.25409408176644155
banknote-authentication,0.8439578183934302,0.7283252269962134,0.8346264093962057,0.5293800172406284,0.8371480440397757,0.8363724510503403,0.8342966179328,0.8371480440397757,0.8362506983715189
blood-transfusion-service-center,0.644561940934198,0.6355118615756332,0.5495690466772696,0.43247744621790424,0.5654031976933307,0.5580315645649706,0.5609189870355559,0.5617158124323813,0.5650856164925867
breast-w,0.967985358866722,0.8772157710740162,0.9604913253211482,0.9008477462440718,0.9575720201811773,0.9575720201811773,0.9575720201811773,0.9591396900719081,0.9575720201811773
california,0.738965115460374,0.7395015930308115,0.5679345986490479,0.7395493823001197,0.5413331731229223,0.47038051035413975,0.4767208151396001,0.48106939826963846,0.538946367142823
cardiotocography,0.9887464370440467,1.0,0.9993351302785264,1.0,0.9993351302785264,0.9993351302785264,0.9993351302785264,0.9993351302785264,0.9993351302785264
clean1,0.7277031979001926,0.677246308549268,0.8115713301164484,0.6912718942524201,0.792226056090675,0.7838392673236896,0.7694297474619839,0.7610940262170027,0.7922235835526042
clean2,0.6168577655273546,0.685386663737846,0.8053729943395951,0.6948252635258438,0.7724866540911782,0.7757661922738536,0.7708586756128231,0.7769097747089699,0.7754148684835337
climate-model-simulation-crashes,0.5948857452972187,0.6307123624969926,0.6752693139287772,0.4777445855115758,0.5911586155596876,0.580554031151667,0.5967829137037877,0.5986437139185894,0.6122152742761149
corporate_credit_ratings,0.4251891836055327,0.29168807346597686,0.2006830011488137,0.5227541705284129,0.132660477863003,0.13185956457281928,0.13147609412794678,0.130740761058122,0.13270241404325325
default-of-credit-card-clients,0.5693547912727054,0.5973316671958713,0.3789180390153967,0.43782324689257396,0.39681408542253427,0.39316253125810174,0.39551687935377455,0.39681408542253427,0.38849269293746297
diabetes,0.6858664510951692,0.6143549387491913,0.7243319065014285,0.3943257092863392,0.7122936914627938,0.709499034375498,0.7041954574000997,0.7041954574000997,0.7128095952960417
ecoli,0.4336613026989652,0.3540138505463998,0.46306102835378726,0.07542286121249886,0.5344284633480438,0.5344284633480438,0.5344284633480438,0.5344284633480438,0.5344284633480438
eeg-eye-state,0.5637834066551217,0.5448255978563189,0.34722871708576586,0.35550210645232394,0.33508504300307107,0.33566188600772456,0.33417355691674194,0.3340611995775627,0.337713280337022
gas-drift,0.498154733905354,0.37212435607854166,0.555867805102341,0.591866841135713,0.5864451625881858,0.5739549347866557,0.5801648528802877,0.5864451625881858,0.5680862072457148
gina_agnostic,0.7964672200061204,0.7940075466040797,0.7820449172101946,0.7939940442144181,0.7794235874137725,0.7781141689120208,0.777834830050416,0.7767063780280747,0.7785943214976353
glass,0.5635066429958071,0.3179311205881254,0.4417018347560816,0.2649543829237315,0.5263475812495421,0.5236530697831008,0.5236530697831008,0.5236530697831008,0.5263475812495421
har,0.8180642020338356,0.4374648569085555,0.7394004347111178,0.823953565797231,0.703810250591934,0.6869020257416405,0.6949374456923193,0.703810250591934,0.6749276913290443
heart-statlog,0.8295343817321197,0.8171037197439721,0.8298333229376418,0.8204234886241861,0.8379039678100109,0.8342315540169073,0.8374271084624617,0.8374271084624617,0.8342315540169073
ionosphere,0.7480257020840987,0.7327136586924896,0.8724295031723338,0.43028542842517437,0.8763720612271788,0.8734041302990259,0.8705234333562171,0.8425200395831987,0.8763720612271788
