dataset,BernoulliNB,ComplementNB,GaussianNB,MultinomialNB,PW-NB(auto),PW-NB(k=15),PW-NB(k=30),PW-NB(k=45),PW-NB(k=5)
JapaneseVowels,0.01418968502464146,0.009687180089800726,0.011406342732373748,0.007050082578434548,0.01330748417199776,0.012300704338615518,0.012538434219304432,0.01208250078690246,0.01330748417199776
LED-display-domain-7digit,0.0598156179538574,0.04554517936047151,0.11912272066042688,0.08067643710930157,0.08597350556929591,0.08868099097686938,0.08227306115368781,0.08302074332216319,0.08238531636109729
MagicTelescope,0.012178139951425731,0.00874946304104351,0.00708784322647932,0.009765675256688219,0.008528745948994505,0.008583414175763188,0.008111640175230845,0.008528745948994505,0.008343868869858476
PhishingWebsites,0.007137720660765078,0.008213015695244415,0.008858906137743277,0.00772277678016277,0.014819378619987661,0.011940774609510216,0.014516328197389407,0.014819378619987661,0.012479755632248988
Speech,0.05588729674470483,0.026272833516844077,0.06604880440285184,0.0002165647797842842,0.08678609320990771,0.09020624173598085,0.06453570315429513,0.06554469957621643,0.08738684882167637
UCI_churn,0.00035987703072809074,0.00641844237559352,0.000943429610745421,0.00035987703072809074,0.015483750265235605,0.014196120557375558,0.010520979407511658,0.004361867403919792,0.015483750265235605
USPS,0.010439279224893853,0.01864453629146114,0.014681356955113753,0.006578769606233384,0.01079378136324029,0.011527180082461364,0.01085130519149643,0.010358687380291578,0.012639008046278676
artificial-characters,0.013020658075685468,0.010649238324131513,0.012181333429578443,0.005127108296090434,0.01435285632771016,0.012886712186137711,0.011181031919901266,0.01456333103916058,0.01280048646847797
banknote-authentication,0.011812446929104407,0.03990531046322763,0.03975935076465418,0.04092750737728007,0.038203936747449097,0.03747892109726613,0.03748173371488365,0.038203936747449097,0.037464770888763856
blood-transfusion-service-center,0.059658385722646146,0.05086031083693588,0.08447222472093027,0.001389851388924336,0.08955770912185355,0.08760967754965505,0.08753222038889498,0.08690963906900398,0.0893365088007459
breast-w,0.015124671241586793,0.0182178673303965,0.022349031546488592,0.028246435886894374,0.016344041703910798,0.016344041703910798,0.016344041703910798,0.01814739428183846,0.016344041703910798
california,0.011391533500539387,0.011248987797777435,0.09176196490521796,0.011431735740994174,0.11246977498481357,0.06414748756973354,0.06412329040781868,0.06149203699604282,0.11494646922192447
cardiotocography,0.009660283002425435,0.0,0.0021025026671380397,0.0,0.0021025026671380397,0.0021025026671380397,0.0021025026671380397,0.0021025026671380397,0.0021025026671380397
clean1,0.10725205929436822,0.10248971930328347,0.07868258664756808,0.0948480472175176,0.06769191342122857,0.08073724515402937,0.08497635879066591,0.08891008250057392,0.06171114777879284
clean2,0.01761825766417473,0.021819527015767184,0.021458212004713297,0.024219913990682504,0.028164035215869746,0.022076981927606106,0.026222769073008096,0.029315175873045943,0.02343926161133876
climate-model-simulation-crashes,0.12490217791825245,0.06429307133310173,0.11759737946654632,0.002603200158018455,0.11326815550638938,0.10407212941716307,0.12205483763745884,0.1196640198644425,0.1253411175475015
corporate_credit_ratings,0.015167622374555559,0.019599360116408362,0.013619371549979232,0.016417458642930132,0.004717372916195183,0.005140782048812445,0.005324766031558204,0.004928964477783155,0.004702566585043402
default-of-credit-card-clients,0.011839691531406113,0.010944539349724336,0.016419257648684776,5.439921054377757e-05,0.009882125689142582,0.009035592074702292,0.009567015763609039,0.009882125689142582,0.009413723743331473
diabetes,0.061830868091749244,0.054947958399718264,0.0583248799136392,0.0013174510103605042,0.0641492666368384,0.0627189935473008,0.06471335127951737,0.06471335127951737,0.06442811172528454
ecoli,0.1266998949099065,0.01726333434445465,0.16746315568901682,0.00015422519486399746,0.01869580093857343,0.01869580093857343,0.01869580093857343,0.01869580093857343,0.01869580093857343
eeg-eye-state,0.017211582725621167,0.014101149309497,0.049186281840710555,0.00046387296290364066,0.013653056221296866,0.013795068164859004,0.014281678354371797,0.01439631017420785,0.012283602688433691
gas-drift,0.011198268995175417,0.010880799315505956,0.011866662013656956,0.018792084871536007,0.009636299630446746,0.012181644472801218,0.012099885049551697,0.009636299630446746,0.012672554376574482
gina_agnostic,0.020777872361745834,0.025707629029499482,0.022213060775637117,0.02543801378330705,0.024468305756279243,0.023418868704483918,0.023722971165975902,0.024919540268161205,0.024344310932657234
glass,0.13406589692144658,0.08929335619165513,0.15450290141607334,0.06541220689456796,0.15253570042520975,0.16683559257020622,0.16683559257020622,0.16683559257020622,0.15253570042520975
har,0.010238137782943937,0.015922842077047614,0.03518097958663854,0.014366919371891444,0.02082200857476405,0.023758827604563795,0.022502585293706474,0.02082200857476405,0.023788867217170058
heart-statlog,0.06792661880844532,0.08442984720080775,0.07719713196864432,0.07386349944115922,0.06991637825057981,0.06566873279864732,0.07252223536041262,0.07252223536041262,0.06566873279864732
ionosphere,0.09296020989651091,0.062027380292488755,0.03542411337822057,0.040477880823638984,0.031410601736175124,0.0299993758486852,0.03178927485737808,0.046339568758282317,0.031410601736175124
iris,0.1016095010408213,0.004563171226794141,0.05595768991690572,0.07978006708126312,0.05595768991690572,0.05595768991690572,0.05595768991690572,0.05595768991690572,0.05595768991690572
isolet,0.011831904815637189,0.011068747927394772,0.014313472826249419,0.012061801312032423,0.015543118679715999,0.01582480570978406,0.014825430858005159,0.015443082410253007,0.016655751764183217
kc1,0.027316549066681562,0.03223638154725298,0.04183335768246939,0.04186866652099838,0.04376936016563375,0.04376936016563375,0.04030064512180741,0.04030064512180741,0.039825128288068265
letter,0.010244704088635611,0.00898678165320176,0.014650992001673486,0.013565616030640177,0.012866652519650136,0.011761651724991025,0.012865236565908586,0.012379030942243284,0.012377847129450422
madelon,0.042788277029671425,0.03117482783303867,0.02595992517092657,0.03117482783303867,0.02776797448844909,0.026253194494172856,0.026963799212025522,0.027657704722047212,0.028610937317166327
mc1,0.010799189719984285,0.01444437348839313,0.035374829695047946,0.07049319984013991,0.03362694045392787,0.03274682137865303,0.03243597012914441,0.03214751193339439,0.03456505422606561
mfeat-factors,0.022941827844273486,0.019142804469625723,0.019214785851355387,0.02515658592247756,0.018635763699338725,0.02018971566869835,0.02140840493775807,0.020676611563748955,0.018635763699338725
mfeat-karhunen,0.019159272529954998,0.0176653883092874,0.018639305320574423,0.02007287673126717,0.018016906678393094,0.018990111922272363,0.020345265790903063,0.019986745719129513,0.01719951851556979
mozilla4,0.018274736216629443,0.011486890203360006,0.012124041025310813,8.454673809346727e-05,0.014252506350141305,0.014389943057915975,0.01441559784491001,0.014252506350141305,0.014357060466192631
optdigits,0.011134039331112263,0.014064685406015211,0.02654829867031077,0.004724424180158291,0.017569171521639414,0.015795187135298126,0.018007795585366804,0.017569171521639414,0.01357695021190474
ozone-level-8hr,0.02243050614634451,0.017999248060568348,0.017194392950045673,3.4272293313088376e-05,0.031290758788719376,0.024794880915888263,0.022978275112029344,0.02273737236384365,0.030920425590893436
page-blocks,0.03409986090799067,0.04406359685388323,0.09219942716001983,0.026057013349926394,0.0984304539040136,0.0984304539040136,0.0889058955764898,0.0889058955764898,0.07139514757144162
parkinsons,0.11981135868628426,0.1338147154358006,0.10089611296975808,0.12011989074383711,0.0963826120499617,0.0963826120499617,0.08964950194922675,0.09269846280656156,0.09712897826940986
pendigits,0.009989035735983068,0.009672731508156111,0.010273613823206794,0.00975076644018813,0.009653433773884614,0.009902410500463695,0.010266009531454704,0.009508708392513564,0.009534291032190372
ringnorm,0.018899544364236465,0.011674941374893213,0.004021307753657422,0.00030820219732667186,0.00515257392864874,0.005041025930171355,0.0053284086401913025,0.005227174375447976,0.00515257392864874
satimage,0.020568111041351388,0.005581603624853943,0.0160190972569127,0.007673066174079019,0.015332549518602445,0.01599051116735823,0.01527781317168326,0.015741802073087632,0.015269667750044298
scene,0.0378799251750582,0.017081978889744578,0.02865834586490785,0.02003013245261352,0.024386377117794168,0.022814658846962602,0.021602258438888904,0.020154869309163367,0.024386377117794168
segment,0.030491927828222434,0.014355332238626145,0.020837790177927005,0.02410638869964777,0.022212695030650726,0.021449584433694015,0.02086392659908178,0.022212695030650726,0.021167817566133944
semeion,0.02431398191530119,0.026265434727635827,0.028731502557310676,0.018418329318046323,0.03666988436381985,0.030076932258166197,0.03729971575023228,0.036959609677289874,0.02596077660196841
sonar,0.09285663208834045,0.10694708662801591,0.1308114686042819,0.1253828400342366,0.15352425408178272,0.144413364167186,0.14648983481180594,0.14257844521447144,0.1552944897567452
spambase,0.0155666707353329,0.017316709987390166,0.016095787653758763,0.007730774705603459,0.019407468245204233,0.018183565907188073,0.018648220380774568,0.019398181348829917,0.018896959850229142
texture,0.026007091307271163,0.01511896757654694,0.018726957852824636,0.0073855805357909065,0.01811460075027631,0.01909452556498852,0.018638042043940862,0.018157958796401308,0.017700118109602335
thyroid-ann,0.04941603657627018,0.04021671867264296,0.009524218150380799,0.021305288136988915,0.017568410346351933,0.0139498934169881,0.01644439463142702,0.014980578939292883,0.015013165415855607
vehicle,0.0623530624440798,0.07335664939925354,0.04594778614678798,0.0691725468934615,0.04749915568902243,0.04308068701873686,0.051729684238751135,0.0499058823423584,0.0418779235576209
vowel,0.060199711073948704,0.019156383631718506,0.0329799829241802,0.020250469483101212,0.033057371471307585,0.035576431750749156,0.04093197785226757,0.033057371471307585,0.04189118249745073
waveform-5000,0.02308888195464744,0.02099549248389046,0.023872498237925345,0.020801689256549204,0.022243214197008355,0.02379054106765221,0.023646189500366347,0.022831974442427655,0.022243214197008355
wilt,0.0001718813949564436,0.02135344261629575,0.017323269222520706,0.0001718813949564436,0.03638063796541012,0.03638063796541012,0.037578482204754765,0.044437406077436466,0.03814905267988033
wine,0.06866363799826486,0.05688498607892987,0.03786770329566441,0.04678088124353075,0.04514192580971591,0.04514192580971591,0.04514192580971591,0.04514192580971591,0.04514192580971591
wine-quality-red,0.01915937856116483,0.037147453938012276,0.043264968983266996,0.014052018134243475,0.027131035456642253,0.02247082643122299,0.02247082643122299,0.02247082643122299,0.027131035456642253
wine-quality-white,0.006702061588962381,0.004425794938992211,0.024304684471213003,5.910811397665263e-05,0.035979798108272155,0.035979798108272155,0.035979798108272155,0.035979798108272155,0.035979798108272155
