dataset,BernoulliNB,ComplementNB,GaussianNB,MultinomialNB,PW-NB(auto),PW-NB(k=15),PW-NB(k=30),PW-NB(k=45),PW-NB(k=5)
JapaneseVowels,0.6767994345308207,0.5701752879128426,0.8393234276951542,0.3039625004066563,0.8362741340454605,0.8345310236478612,0.8338514099361138,0.8327455979969065,0.8362741340454605
LED-display-domain-7digit,0.6992067352181216,0.5726212918934744,0.6223815759341569,0.703634870476255,0.6807155691180332,0.6762646096340804,0.6897410447541542,0.6850506215670532,0.6463255029573296
MagicTelescope,0.43685328465560447,0.5157826937989232,0.3599352907001959,0.1853964601815302,0.38553856064487807,0.38112343416731725,0.3847559263804016,0.38553856064487807,0.3769588550841258
PhishingWebsites,0.856763710631286,0.8577978068322943,0.5354707366511414,0.8569195814188776,0.6118347467765233,0.593987833828546,0.6091155428062265,0.6118347467765233,0.5704650861455011
Speech,0.21185359508397314,0.18479200146992,0.25387656849540685,0.0,0.23596400650743304,0.26734408390426373,0.20537354790648316,0.21766632117997392,0.259948664943727
UCI_churn,0.0,0.01096375317311672,0.0,0.0,-0.00515847731069779,-0.0200488274010478,-0.01623446638346071,-0.00590626693554304,-0.00515847731069779
USPS,0.8068255752239482,0.6034839291948253,0.7593352814101024,0.8216343382125224,0.7727470364943303,0.770122351646661,0.7699309183204696,0.773105193053319,0.7700982919872285
artificial-characters,0.17215187577069543,0.13178596771349235,0.21682808097602138,0.09667988614268246,0.23411688078201326,0.2254875912937652,0.22960165847048844,0.23411298285910678,0.22560181603889196
banknote-authentication,0.6951698967612171,0.46292673198323264,0.6719776132645902,0.3291695901217312,0.6764664931107087,0.6749795216833927,0.6706118094903724,0.6764664931107087,0.6749244861898476
blood-transfusion-service-center,0.2997728052320764,0.3073110768925523,0.14992585701882305,0.0,0.19105806333545522,0.171743093843654,0.18158956411516153,0.18459959228633988,0.18368917889762312
breast-w,0.9365495954434623,0.7691300980061552,0.922341078698435,0.809772571454956,0.9180687938589187,0.9180687938589187,0.9180687938589187,0.921060647238105,0.9180687938589187
california,0.48550788363106695,0.4793097204150089,0.32328621978549665,0.47941000972340575,0.2920532683297888,0.21105982538404694,0.2175798385494899,0.2210870083319719,0.2886022430986467
cardiotocography,0.9938771761652042,1.0,0.9994435199003455,1.0,0.9994435199003455,0.9994435199003455,0.9994435199003455,0.9994435199003455,0.9994435199003455
clean1,0.4690596879404055,0.37426351561771404,0.6332726490243419,0.39960522833534895,0.5979898161912328,0.581884332963897,0.5505185997655572,0.5361395607346825,0.596953117448544
clean2,0.2687775083495838,0.41555475969078337,0.6190301148197244,0.39247598724582516,0.5536261345890441,0.5619734688924207,0.549861819309459,0.5591670082799359,0.5653441427886035
climate-model-simulation-crashes,0.21201727421988106,0.4010625662303699,0.362529127819602,0.0,0.19918286363901747,0.18672778234820306,0.21468900184600467,0.21465924082692736,0.2420558445268041
