dataset,BernoulliNB,ComplementNB,GaussianNB,MultinomialNB,PW-NB(auto),PW-NB(k=15),PW-NB(k=30),PW-NB(k=45),PW-NB(k=5)
JapaneseVowels,0.014883405462300884,0.012562368876675556,0.011748172414899064,0.009845300735151835,0.013729740860660911,0.012970350921359583,0.013235969620843176,0.012802640090483049,0.013729740860660911
LED-display-domain-7digit,0.060347844196193795,0.0566146283569446,0.11499307765599158,0.07879228037311066,0.08991846095668639,0.08863697130935551,0.08075675999210453,0.08179268484369703,0.08436990341856761
MagicTelescope,0.022444657405465234,0.017475858213642236,0.010617643411319537,0.01663943218988171,0.014650542118930458,0.014190576066962238,0.013764513673095946,0.014650542118930458,0.013712903955288215
PhishingWebsites,0.014265783354144065,0.016413288267151556,0.011265133700010848,0.015366386055455358,0.02000087901235686,0.014925654327450074,0.019471749251043863,0.02000087901235686,0.016484331833717353
Speech,0.11159961189439492,0.07315850352944883,0.13628997053423358,0.0,0.18905999133250562,0.1878211155665865,0.1396381120899949,0.15291113391745517,0.2000440202486315
UCI_churn,0.0,0.043168532171617625,0.0,0.0,0.036200717192870456,0.0293190391718174,0.028590024161660003,0.01867725598525891,0.036200717192870456
USPS,0.011070015378719957,0.015046284461424348,0.014689262531603615,0.006982947515987636,0.010219015771530773,0.011226823037677865,0.010513537503835275,0.009940054301729302,0.012687141935730008
artificial-characters,0.017609461718698854,0.013908519586581231,0.012108882732011848,0.010949139960781807,0.012724665482123917,0.01215708873121624,0.009351399367788261,0.012729333679587807,0.012549402455697247
banknote-authentication,0.023625295168517732,0.07888588917081871,0.07483965375005383,0.0501381677150629,0.07244806921849004,0.07094688347760766,0.07100483182429024,0.07244806921849004,0.0709167962004153
blood-transfusion-service-center,0.11878789760921905,0.10689085425344239,0.18243403744291647,0.0,0.19147999039333163,0.19065328932382536,0.18979706024608606,0.18742625071449184,0.19477655934648677
breast-w,0.030159790293156474,0.03481205884420503,0.04380400922912432,0.05196461553994454,0.031050873506169266,0.031050873506169266,0.031050873506169266,0.03450650734335249,0.031050873506169266
california,0.023165080813681068,0.022474510515200188,0.0909567432738668,0.022845322486159357,0.11134386298588081,0.06261867236853852,0.06038520530195281,0.056305018704286,0.1153160916476057
cardiotocography,0.005505886435264251,0.0,0.001759744587466015,0.0,0.001759744587466015,0.001759744587466015,0.001759744587466015,0.001759744587466015,0.001759744587466015
clean1,0.20543542538495904,0.19248113398664637,0.1536611715656201,0.18364657359625425,0.13139407392946587,0.15864163543314044,0.1662310653089712,0.1720796606538554,0.12065338352358447
clean2,0.04007147630788249,0.044956498449175805,0.04288640514272935,0.048384789224449914,0.05632769118945332,0.044660584230156564,0.05287858119555046,0.05908568090959629,0.04792847621843555
climate-model-simulation-crashes,0.2677433307566945,0.12389341042063079,0.23862228864632645,0.0,0.2338918027853729,0.2258766378201169,0.26023265237888354,0.251689696333321,0.2547671536562501
corporate_credit_ratings,0.015170495377241798,0.02106311922930104,0.017073829381340576,0.02128050913192483,0.00615617209585802,0.006775647849758774,0.006820005694718852,0.005870533507726032,0.006134334629879843
default-of-credit-card-clients,0.023100433916255613,0.02390343912620248,0.015002723877507446,0.0,0.013666232982249423,0.012844609882936326,0.014343915310385381,0.013666232982249423,0.015389890062613673
diabetes,0.12526129653850204,0.10853361899297811,0.11958266569652218,0.0,0.1305790434225708,0.1284650831429564,0.1328130300294608,0.1328130300294608,0.13087349303364107
ecoli,0.039121017851102974,0.0414531609881932,0.12301194340629691,0.002392051357069252,0.036651233978352,0.036651233978352,0.036651233978352,0.036651233978352,0.036651233978352
eeg-eye-state,0.034933829934099755,0.02781538483352112,0.02858934271527629,0.009049165727177387,0.02790221428122275,0.025959944957750062,0.027353945254909653,0.028224721555828097,0.02525024025514984
gas-drift,0.012061678619779352,0.011914421595807953,0.012479049428416095,0.01979087032211432,0.010823665200622787,0.012990317498240514,0.013211460735261799,0.010823665200622787,0.013263450327415676
gina_agnostic,0.04187610127163827,0.052207483290960734,0.0440439099495495,0.051622463452696374,0.047967861047085565,0.04625238581934627,0.04682977979378578,0.04984499743999041,0.0481848370467245
glass,0.09672114289535101,0.12731113361265975,0.15511066326832915,0.1403460627520755,0.1545398068439808,0.15271177240541342,0.15271177240541342,0.15271177240541342,0.1545398068439808
har,0.01133747504198627,0.010986119766156576,0.03824383421473299,0.016798012804089872,0.02550499192932084,0.028399375003014586,0.027898804365616987,0.02550499192932084,0.02773552856402311
heart-statlog,0.13716116779230608,0.1695474333172979,0.15461020595614927,0.1397548068651921,0.13978300705195884,0.13199718523409898,0.14389224389397928,0.14389224389397928,0.13199718523409898
ionosphere,0.1779734552829692,0.1269617710277196,0.07079275570786042,0.11935008958438863,0.0643895996270599,0.061493826191049226,0.06472865212104877,0.09633552037046791,0.0643895996270599
iris,0.1165317086026892,0.007310169185388311,0.07786821282370215,0.10886533603944613,0.07786821282370215,0.07786821282370215,0.07786821282370215,0.07786821282370215,0.07786821282370215
isolet,0.012507942910192969,0.011244291590526425,0.013940860984802328,0.012442730271887179,0.015709104864233464,0.01619356460335289,0.015200835948706876,0.01585138538362048,0.016932029121470512
kc1,0.05154684324812646,0.059825056081052326,0.08604784091565452,0.10648558880977373,0.08983516615869969,0.08983516615869969,0.0831311974858129,0.0831311974858129,0.08211825068509804
letter,0.010532357804008397,0.01018762486990253,0.014257654313441274,0.013366032414523112,0.012517002642779952,0.01145980246671311,0.012580987865637357,0.012408337133154177,0.012037327208183254
madelon,0.08539070750144018,0.06276838403858974,0.05198448738484292,0.06276838403858974,0.05692008517222813,0.05374677106593662,0.055284650496562726,0.05676272470059619,0.05867589166846147
mc1,0.03813072241085135,0.048462236825704066,0.09324224448737362,0.14083171735623973,0.09490286230170454,0.09437583810175125,0.0935061348855731,0.09336165880039338,0.09072893844827054
mfeat-factors,0.025039246177620864,0.01578167555894498,0.020916906463045754,0.027372252519186083,0.02007792341478979,0.021933626034424464,0.02326652942859617,0.02227993130136615,0.02007792341478979
mfeat-karhunen,0.021905575053668407,0.01891775967760136,0.02073546117079513,0.02231693592705647,0.020198606039263926,0.021253287248893603,0.022614778694701836,0.022177572095460577,0.01925568736243294
