dataset,BernoulliNB,ComplementNB,GaussianNB,MultinomialNB,PW-NB(k=15),PW-NB(k=30),PW-NB(k=45),PW-NB(k=5)
balance_scale,0.7287053205092566,0.8432255457187592,0.8675696752850819,0.8416002584823328,0.8690272035729125,0.8690285032170788,0.8690285032170788,0.867641197300227
banknote,0.8449734154870061,0.7333675877755609,0.8372655500713732,0.5542234271673909,0.838890841473652,0.8367797437088275,0.8396421918371407,0.8388218791240369
breast_cancer,0.9314556761877849,0.8521701263193956,0.9359954369261356,0.8242192463235934,0.934368737978182,0.9325741269829573,0.9325741269829573,0.9377121327577864
digits,0.8856786109675806,0.8074259289820512,0.8438921700490966,0.9006813481156082,0.8597297404404355,0.8599050142417555,0.8621502967337473,0.8593858761145812
ecoli,0.6982625596958496,0.6051933136453228,0.7751349186915368,0.2567942880882434,0.798643232215593,0.798643232215593,0.798643232215593,0.798643232215593
glass,0.625945518573321,0.4114790827351214,0.40504276141612733,0.4128078637140773,0.46653090969676875,0.46653090969676875,0.46653090969676875,0.4551037621299059
ionosphere,0.7626769876679683,0.7544055213558878,0.8854449220632384,0.5316154539436884,0.8858105126082837,0.8831177643627404,0.8562198389589328,0.888609948756471
iris,0.7233901283901284,0.554112554112554,0.9525757575757575,0.7856343656343656,0.9525757575757575,0.9525757575757575,0.9525757575757575,0.9525757575757575
letter,0.3994050666067893,0.34379356404899275,0.6401782462036973,0.5035593783928115,0.6545872941296215,0.6569769226232471,0.6587248397699726,0.6508147005583866
optdigits,0.8956248040986337,0.8120126658042801,0.7892584976892055,0.9078771047651063,0.8355100619928374,0.8336379733266455,0.8360893897518746,0.8349642939596162
page_blocks,0.9009895275104178,0.9172659224547453,0.900737179746908,0.8516542400745657,0.9307950416684113,0.9317937247900249,0.9317937247900249,0.9278681125196766
parkinsons,0.7354086788542625,0.7262882056995666,0.728347975759303,0.8199857786338798,0.7297726410369924,0.7400433577419533,0.7350362748172502,0.7352590090750846
pendigits,0.8062082896251151,0.6558668184355863,0.8531296031472021,0.7950334367551172,0.8526383618773835,0.8512495288823476,0.850109471520925,0.8529181862033915
robot_navigation,0.5974029585962375,0.5695687251607839,0.5317090239683591,0.5412376405692395,0.5483118821678195,0.5504369012717987,0.5520594961870723,0.5420515053632518
satellite,0.7023709133333618,0.42117151935944774,0.8035946599829291,0.47511059336736094,0.8059189397926421,0.8036062465120996,0.8035136457553532,0.8069928547322114
segment,0.7088023109005412,0.40027971426363196,0.7768169949901289,0.766466797196929,0.7965340227153893,0.7984001514443755,0.7997795004331427,0.7970575237332451
sonar,0.7525765303481012,0.7446997872455539,0.6762787036394969,0.7526740286953639,0.6842846550855703,0.6694817387037066,0.678621825387653,0.6749941650981495
spambase,0.9018194479007011,0.8384972306271676,0.8219185483791396,0.887552164237784,0.8358602289399307,0.8362939130771387,0.8369467852746864,0.8345582427650943
transfusion,0.7438644948583873,0.7111253890536411,0.7047978627270208,0.6591532156722997,0.7116844877168484,0.7145207772795457,0.7153852852160536,0.7152387839296624
vehicle,0.4161527603155147,0.42136715210516973,0.41293713155224115,0.528258926236598,0.4242377641933749,0.424900128716258,0.43546715371408135,0.44097504343221516
vowel,0.3162698692825897,0.06130212622903186,0.3529254747775777,0.051332833754730745,0.16377042413531478,0.16245117169446885,0.14437981109242384,0.20301309497930237
waveform,0.7688066920848933,0.6879545793364943,0.7852908446232865,0.8072816355533103,0.7974157100788729,0.7966775499468024,0.7951938772457068,0.7968915622547533
wine,0.9263945640416228,0.8609384624090506,0.9777492877492877,0.9423838878985938,0.9722610722610723,0.9722610722610723,0.9722610722610723,0.9722610722610723
