dataset,BernoulliNB,ComplementNB,GaussianNB,MultinomialNB,PW-NB(auto),PW-NB(k=15),PW-NB(k=30),PW-NB(k=45),PW-NB(k=5)
JapaneseVowels,0.6993773151569636,0.5694444021298948,0.8575956614740295,0.2534928212209127,0.8544726688230178,0.8526019398037921,0.8518061267351055,0.8506889723286196,0.8544726688230178
LED-display-domain-7digit,0.7222771062271062,0.5204821867846635,0.6399723887395714,0.7234096903096903,0.7054634797950587,0.7029860572176362,0.7071566421882212,0.7029600066600066,0.6756595182595182
MagicTelescope,0.7427363842061437,0.7790736613488648,0.7002873404322172,0.5515080169515322,0.706271247366751,0.7049529908914869,0.7061338104231252,0.706271247366751,0.7038121596192941
PhishingWebsites,0.9291939141854229,0.9297248282186548,0.6945965971551115,0.9292013675633719,0.7607307112274492,0.7456735597513926,0.7583991374472157,0.7607307112274492,0.7251824527286882
Speech,0.9727425164649451,0.9251623438246073,0.9739014879991217,0.9752459454250006,0.9780194358845817,0.9789688555849627,0.9770790789308021,0.9770507222386591,0.9785388843340463
UCI_churn,0.7882911587551182,0.7888556423519779,0.03668539905293179,0.7882911587551182,0.11305521545334915,0.05943146580587744,0.05336525049488017,0.03953022560387545,0.11305521545334915
USPS,0.8281069643059299,0.6148067203580244,0.7796163502508798,0.8410168170127555,0.7948277920584068,0.7914245748881334,0.7919653240529094,0.795126867341066,0.7907433269253337
artificial-characters,0.22336315349168645,0.1511981034929685,0.2564307744550217,0.09496654647222579,0.26749470650849033,0.26170772708555573,0.264632499295615,0.26735696492602057,0.26134781715392286
banknote-authentication,0.8449734154870061,0.7333675877755609,0.8372655500713732,0.5542234271673909,0.8396421918371407,0.838890841473652,0.8367797437088275,0.8396421918371407,0.8388218791240369
blood-transfusion-service-center,0.7438644948583873,0.7111253890536411,0.7047978627270208,0.6591532156722997,0.7174622480955342,0.7116844877168484,0.7145207772795457,0.7153852852160536,0.7152387839296624
breast-w,0.9707898699493283,0.8851249063778599,0.9637248710845199,0.9115279011037998,0.9608872409508347,0.9608872409508347,0.9608872409508347,0.9623397597289955,0.9608872409508347
california,0.7389650687800261,0.7395017884671453,0.567951359195027,0.7395495346890174,0.541345636851523,0.4703899325157666,0.47673083298364755,0.48107940493711976,0.5389588308714238
cardiotocography,0.995021168315575,1.0,0.9995237673419975,1.0,0.9995237673419975,0.9995237673419975,0.9995237673419975,0.9995237673419975,0.9995237673419975
clean1,0.7300768495681697,0.6786077827089219,0.8133507274834155,0.6937230479776658,0.7941437743587059,0.7857071449867842,0.7713272970893927,0.7627031671238095,0.7942213300628007
clean2,0.7677517956873083,0.8077439165472603,0.8926766244512008,0.8361904414379936,0.8742618047770134,0.8752248839026213,0.8734789166601876,0.8783311649316999,0.8734136341198969
climate-model-simulation-crashes,0.881206489945602,0.8199286505137924,0.8954613722021388,0.8741404586064782,0.8878359639897646,0.8850809069247676,0.8906062217033666,0.8923392785919816,0.8941226566604383
corporate_credit_ratings,0.4251891836055327,0.2916880734659769,0.2006830011488137,0.5227541705284129,0.132660477863003,0.13185956457281928,0.13147609412794678,0.130740761058122,0.13270241404325325
