dataset,BernoulliNB,ComplementNB,GaussianNB,MultinomialNB,PW-NB(auto),PW-NB(k=15),PW-NB(k=30),PW-NB(k=45),PW-NB(k=5)
JapaneseVowels,0.012989440985295444,0.010183335120518937,0.01058449538367692,0.007393629064751046,0.012345904733244794,0.011606583001562025,0.011869326021966876,0.011573093646197654,0.012345904733244794
LED-display-domain-7digit,0.05702700848433718,0.048062146495379696,0.11693498569611376,0.07552295355147154,0.07878737587911139,0.07903452778260489,0.07370097054734938,0.07416294908355567,0.07498100788131377
MagicTelescope,0.01022997747012506,0.00801538833808923,0.005434013641055247,0.007380944833433862,0.006725859209950392,0.006751437720986062,0.006364320919064231,0.006725859209950392,0.006527232791687707
PhishingWebsites,0.007022363459206707,0.008085933309119595,0.009292461500249287,0.007588786753039277,0.015388800794463687,0.012456571828432104,0.015080656654497673,0.015388800794463687,0.013012750627974997
Speech,0.00463761318100245,0.007276450893930301,0.003994648509278449,0.001268988503403245,0.004411144363879717,0.004320543344990182,0.003762155919314154,0.003902188235668706,0.004242081961724786
UCI_churn,0.0017558007584319607,0.0020595684059804614,0.0005886955983973269,0.0017558007584319607,0.027246400677701853,0.026288111044778684,0.01913179673709953,0.008886258328956552,0.027246400677701853
USPS,0.009951339651011405,0.01665801606595081,0.012972930933594537,0.0062677930899917335,0.009269902235053189,0.010072233684093058,0.009426900611252573,0.008970558692134012,0.011090741455680665
artificial-characters,0.014033309291127217,0.009692318164663498,0.012159031759181137,0.005704181813341823,0.014209563904545018,0.012877327896691439,0.011011118829391943,0.014341213044959764,0.013284231794320284
banknote-authentication,0.011951371418666397,0.03887033193238205,0.03827209185134848,0.037418250147289056,0.03684501555579956,0.03611790158368624,0.03612819398856646,0.03684501555579956,0.03611101764765225
blood-transfusion-service-center,0.041456303249569414,0.04536896597672989,0.0546292203470018,0.0058809495527025555,0.056899321189409914,0.05627384681664802,0.05588417879590656,0.05519391494547371,0.05814264514663395
breast-w,0.013805672725959351,0.017312779223745797,0.020656355082657934,0.02468157846424307,0.015236071266547977,0.015236071266547977,0.015236071266547977,0.016892123796140034,0.015236071266547977
california,0.011390141015405225,0.011248856478715293,0.09173080401224433,0.01143161475299542,0.11245325570051044,0.0641150115917748,0.06408923239306984,0.061457834758855495,0.11493059352008389
cardiotocography,0.00440201019433711,0.0,0.0015059798954439672,0.0,0.0015059798954439672,0.0015059798954439672,0.0015059798954439672,0.0015059798954439672,0.0015059798954439672
clean1,0.10925511740364055,0.10574771784320458,0.07865529101104456,0.09714690242076911,0.06798623724149949,0.08066865953592639,0.08512005593430438,0.08931908326987954,0.06194014832634403
clean2,0.011394741076943549,0.014689944949150543,0.012126164716764547,0.012465434339221705,0.01606988924571442,0.012415754392721667,0.014594142682333623,0.015961346776472297,0.013257505920173846
